DataSet,RaptorScientificName,IDLevel,PreyClass,PreyOrder,PreyScientificName,CountInt,PreyMass,PreyFamily
1,Tyto alba,Species,Mammalia,Rodentia,Spalacopus cyanus,8,127.5,Octodontidae
1,Tyto alba,Order,Mammalia,Chiroptera,Chiroptera,14,0.0,
1,Tyto alba,Species,Mammalia,Didelphimorphia,Thylamys elegans,46,28.9,Didelphidae
1,Tyto alba,Species,Mammalia,Rodentia,Abrocoma bennettii,50,250.5,Abrocomidae
1,Tyto alba,Class,Aves,,Aves,56,0.0,
1,Tyto alba,Species,Mammalia,Rodentia,Octodon degus,73,210.0,Octodontidae
1,Tyto alba,Species,Mammalia,Rodentia,Abrothrix olivaceus,76,24.52,Cricetidae
1,Tyto alba,Species,Mammalia,Rodentia,Rattus rattus,108,229.13,Muridae
1,Tyto alba,Species,Mammalia,Rodentia,Mus musculus,125,16.25,Muridae
1,Tyto alba,Species,Mammalia,Rodentia,Abrothrix longipilis,162,38.86,Cricetidae
1,Tyto alba,Species,Mammalia,Rodentia,Phyllotis darwini,225,50.83,Cricetidae
1,Tyto alba,Species,Mammalia,Rodentia,Oligoryzomys longicaudatus,405,27.0,Cricetidae
2,Tyto alba,Subfamily,Mammalia,Eulipotyphla,Crocidurinae,4,0.0,
2,Tyto alba,Subfamily,Mammalia,Eulipotyphla,Soricinae,7,0.0,
2,Tyto alba,Species,Aves,Passeriformes,Passer montanus,8,0.0,
2,Tyto alba,Species,Mammalia,Rodentia,Mus musculus,9,16.25,Muridae
2,Tyto alba,Genus,Mammalia,Rodentia,Rattus sp,14,165.95184615384613,
2,Tyto alba,Family,Mammalia,Rodentia,Microtidae,15,0.0,
2,Tyto alba,Family,Mammalia,Rodentia,Muridae,15,0.0,
2,Tyto alba,Class,Aves,,Aves,22,0.0,
2,Tyto alba,Species,Aves,Passeriformes,Passer domesticus,31,0.0,
2,Tyto alba,Species,Mammalia,Rodentia,Micromys minutus,33,6.0,Muridae
2,Tyto alba,Species,Mammalia,Rodentia,Microtus savii,46,20.0,Cricetidae
2,Tyto alba,Class,Mammalia,,Mammalia,64,0.0,
2,Tyto alba,Species,Mammalia,Eulipotyphla,Crocidura leucodon,84,9.82,Soricidae
2,Tyto alba,Species,Mammalia,Eulipotyphla,Sorex araneus,118,10.0,Soricidae
2,Tyto alba,Species,Mammalia,Rodentia,Microtus arvalis,119,28.0,Cricetidae
2,Tyto alba,Species,Mammalia,Rodentia,Apodemus sylvaticus,125,30.45,Muridae
2,Tyto alba,Species,Mammalia,Eulipotyphla,Crocidura suaveolens,161,5.19,Soricidae
3,Tyto alba,Species,Mammalia,Eulipotyphla,Talpa europaea,1,77.0,Talpidae
3,Tyto alba,Species,Aves,Passeriformes,Passer montanus,1,0.0,
3,Tyto alba,Class,Aves,,Aves,1,0.0,
3,Tyto alba,Genus,Amphibia,Anura,Rana sp,1,0.0,
3,Tyto alba,Phylum,Arthropoda,,Arthropoda,1,0.0,
