DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1,Tyto alba,South America,1348,1.3,BB,1.9790328560455657,10.085,36.0,13.0,17.0
2,Tyto alba,Europe,875,,BA,2.217694164340614,12.305,83.0,34.0,22.0
3,Tyto alba,Europe,521,,BA,2.1575712227430923,11.325,83.0,34.0,22.0
4,Tyto alba,Europe,2539,,BA,2.2617197120820696,12.91,83.0,34.0,22.0
5,Tyto alba,Europe,799,,BA,2.3229809954566933,13.58,83.0,34.0,22.0
13,Tyto alba,North America,362,,BC,1.594327896760604,7.495,66.0,34.0,16.0
27,Tyto alba,South America,2087,,BA,0.7588147970182715,6.175,99.0,33.0,42.0
28,Tyto alba,Europe,1112,2.69,BA,1.6609557053167754,8.855,67.0,26.0,21.0
29,Tyto alba,Europe,788,3.58,BA,1.7796381132732035,8.745,67.0,26.0,21.0
30,Tyto alba,Europe,194,2.43,BA,1.6067363078262051,8.44,67.0,26.0,21.0
31,Tyto alba,Europe,349,3.14,BA,1.471417154605608,8.34,67.0,26.0,21.0
32,Tyto alba,Europe,538,3.54,BA,1.6787746524823268,8.535,67.0,26.0,21.0
33,Tyto alba,Europe,277,3.46,BA,1.6219078973711394,8.44,67.0,26.0,21.0
34,Tyto alba,Europe,394,3.68,BA,1.2848647032290668,7.57,67.0,26.0,21.0
37,Tyto alba,South America,487,3.16,BA,1.198748133013014,6.895,37.0,16.0,13.0
62,Tyto alba,North America,1272,,BC,2.001438661912547,10.085,57.0,31.0,13.0
70,Tyto alba,North America,328,1.78,AA,0.4841263528553189,3.465,86.0,40.0,24.0
71,Tyto alba,North America,343,1.99,AA,0.5176756289395522,3.915,73.0,36.0,20.0
108,Tyto alba,Asia,207,4.92,NA,1.1222899479609139,4.62,60.0,23.0,20.0
140,Tyto alba,Europe,220,,BA,1.3727357563776021,5.655,83.0,34.0,33.0
141,Tyto alba,Europe,99,,BA,1.4294461429595335,4.98,83.0,34.0,33.0
142,Tyto alba,Europe,311,,BA,1.5468737597969102,7.31,83.0,34.0,33.0
143,Tyto alba,Europe,355,,BA,1.5854595122967987,7.385,83.0,34.0,33.0
144,Tyto alba,Europe,288,,BA,1.5990242564223285,7.545,83.0,34.0,33.0
145,Tyto alba,Europe,404,,BA,1.522103982835869,7.015,83.0,34.0,33.0
146,Tyto alba,Europe,154,,BA,1.7277085796669938,7.255,83.0,34.0,33.0
147,Tyto alba,Europe,81,,BA,1.771542414290864,7.745,83.0,34.0,33.0
262,Tyto alba,North America,1156,2.33,NA,0.7150792834991089,5.155,79.0,36.0,25.0
268,Tyto alba,North America,893,2.8,BA,0.531996015175812,3.265,57.0,29.0,16.0
280,Tyto alba,North America,303,,BA,0.7756176564457357,5.725,52.0,26.0,15.0
318,Tyto alba,South America,354,,BB,1.941205195873447,9.34,41.0,14.0,18.0
319,Tyto alba,South America,335,,BB,1.5722590691698297,8.21,38.0,14.0,16.0
320,Tyto alba,South America,531,,BA,1.787651078264976,8.105,35.0,14.0,18.0
333,Tyto alba,Australia/Oceania,291,,BB,0.45729093344741434,2.8,53.0,5.0,23.0
365,Tyto alba,South America,93,1.01,DA,1.9834350812712231,10.38,137.0,23.0,36.0
403,Tyto alba,Europe,1063,2.35,BB,0.9657482886110655,4.965,62.0,21.0,24.0
404,Tyto alba,Europe,782,2.35,BB,0.9013631663967111,4.39,62.0,21.0,24.0
405,Tyto alba,Europe,934,2.35,BB,0.7666117430906625,4.335,62.0,21.0,24.0
406,Tyto alba,Europe,331,2.35,BB,0.9978395289689582,4.715,62.0,21.0,24.0
408,Tyto tenebricosa,Australia/Oceania,141,,BA,1.304469840999079,7.38,68.0,5.0,27.0
409,Tyto alba,Asia,142,,CA,1.3778042797520136,6.96,80.0,31.0,23.0
410,Tyto alba,Asia,601,,BB,1.086925915896274,5.54,65.0,23.0,27.0
411,Tyto alba,Asia,313,,BB,1.1989271269890183,6.435,65.0,23.0,27.0
412,Tyto alba,Asia,217,3.62,BB,1.4548486863193244,6.91,76.0,28.0,25.0
413,Tyto alba,Asia,79,1.72,CA,1.165390561497859,6.93,71.0,31.0,24.0
414,Tyto alba,Asia,247,,CA,1.2739532558871038,7.38,71.0,31.0,24.0
415,Tyto alba,Asia,7966,1.33,BB,1.4165718128973936,6.33,80.0,31.0,23.0
416,Tyto alba,Asia,196,1.82,CA,1.6438130322554878,7.68,35.0,16.0,5.0
417,Tyto alba,Asia,1026,,CA,1.7784534550371829,9.495,83.0,35.0,23.0
428,Tyto alba,North America,13,,CA,1.123167342478777,3.97,105.0,50.0,30.0
434,Tyto alba,South America,392,1.93,AA,1.5359104145846596,5.82,63.0,28.0,13.0
478,Tyto alba,North America,1044,2.52,BB,1.0515774774995839,5.075,82.0,43.0,25.0
505,Tyto alba,Africa,146,0.073,CA,1.7426176254701178,8.54,46.0,21.0,11.0
513,Tyto alba,Europe,1661,,DA,2.057283024813561,13.005,177.0,25.0,43.0
515,Tyto alba,Asia,1590,1.37,DA,0.8896780731606195,6.835,57.0,16.0,19.0
516,Tyto alba,Asia,710,1.37,DA,1.4922781092123913,8.855,57.0,16.0,19.0
517,Tyto alba,Asia,390,0.93,DA,2.1131537875945985,11.33,57.0,16.0,19.0
518,Tyto alba,Asia,644,2.49,DA,1.1661009240862712,8.7,57.0,16.0,19.0
519,Tyto alba,Asia,126,1.41,DA,1.0629585141236229,5.75,99.0,25.0,37.0
521,Tyto alba,Asia,978,1.29,DA,1.6811318453528494,7.655,99.0,25.0,37.0
