Order,Family,Order,Family,AcceptedGenus_COL,AcceptedName_COL,sp_id,X,Y,Year,Density_km
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,-13,13,2006,1.00E-04
Carnivora,Felidae,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,M_5,37.6,-2.9,2013,1.00E-04
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera leo,M_376,37.6,-2.9,2007,2.00E-04
Carnivora,Hyaenidae,Carnivora,Hyaenidae,Hyaena,Hyaena brunnea,M_236,26.55631,-19.07831,1973,2.75E-04
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Addax,Addax nasomaculatus,M_10,9,18,1995,3.00E-04
Carnivora,Hyaenidae,Carnivora,Hyaenidae,Crocuta,Crocuta crocuta,M_157,37.6,-2.9,2013,3.00E-04
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Oreotragus,Oreotragus oreotragus,M_358,26.55631,-19.07831,1973,3.44E-04
Carnivora,Felidae,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,M_5,37.6,-2.9,2007,4.00E-04
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera leo,M_376,37.6,-2.9,2013,5.00E-04
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Syncerus,Syncerus caffer,M_521,32.7,-23,1997,5.00E-04
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus silvicultor,M_106,19.69,8.133,1995,9.00E-04
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,-3.7,9.1,2002,9.00E-04
Carnivora,Hyaenidae,Carnivora,Hyaenidae,Crocuta,Crocuta crocuta,M_157,16,-19,2008,1.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,21.62,-21.7,2008,1.00E-03
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Potamochoerus,Potamochoerus porcus,M_604,31.3,-2.4,1990,1.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,81.77,22.5,2010,1.10E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2011,1.24E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,M_166,26.56,-19,1996,1.40E-03
Primates,Cercopithecidae,Primates,Cercopithecidae,Papio,Papio anubis,M_380,37.6,-2.9,2013,1.40E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Taurotragus,Taurotragus oryx,M_539,32.87,-22.8,1998,1.40E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2012,1.42E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus niger,M_235,32.7,-23,1997,1.50E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2010,1.56E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2011,1.57E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,81.93285,28.1535,2013,1.60E-03
Carnivora,Canidae,Carnivora,Canidae,Canis,Canis lupus,M_90,-118.7,60.8,2016,1.60E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Raphicerus,Raphicerus campestris,M_458,26.55631,-19.07831,1973,1.65E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Pantholops,Pantholops hodgsonii,M_379,92,35.83,1997,1.67E-03
Perissodactyla,Rhinocerotidae,Perissodactyla,Rhinocerotidae,Diceros,Diceros bicornis,M_171,31.58213,-23.98913,1984,1.70E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,23.4538,-33.8341,2014,1.70E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Philantomba,Philantomba monticola,M_415,19.69,8.133,1995,1.70E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,M_564,35.34,12.48,1997,1.70E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2010,1.77E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus lichtensteinii,M_15,31.6,-24,1996,1.80E-03
Cetartiodactyla,Hippopotamidae,Cetartiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,M_233,37.6,-2.9,2007,1.80E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2010,1.81E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2012,1.84E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,78.85,16.25,2018,1.90E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,32.7,0.3,1995,1.90E-03
Diprotodontia,Phascolarctidae,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,M_878,152.865,-27.18,2005,1.90E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus caama,M_14,17.3,-20.3,2012,2.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,103.4417,20.33333,2003,2.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,74.43333,15.11667,2013,2.00E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,38.7,-6,1990,2.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2012,2.01E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,96.11667,26.75,2003,2.10E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2010,2.10E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,37.44,-8.85,1994,2.10E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2012,2.18E-03
Carnivora,Hyaenidae,Carnivora,Hyaenidae,Crocuta,Crocuta crocuta,M_157,37.6,-2.9,2007,2.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas rufifrons,M_191,21.39,8.907,1995,2.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,96.76667,26.5,2004,2.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Redunca,Redunca redunca,M_467,14.45,9.6,1996,2.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,M_564,38.5,-3,1997,2.20E-03
