MSW3_ID,Scientific,MSWFamilyLatin,SciName,Family,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Source,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,ForStrat-Comment,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Source,Activity-Certainty,BodyMassValue,BodyMass-Source,BodyMass-SpecLevel,,
2216,Abditomys,latidens,Abditomys latidens,Muridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,Ar,A,1,0,0,Ref_3,D2,269,Ref_117,1,,
2217,Abeomelomys,sevia,Abeomelomys sevia,Muridae,10,0,0,0,0,0,10,0,20,60,Ref_3,D2,G,A,1,0,0,Ref_1,ABC,54.88,Ref_58,1,,
1658,Abrawayaomys,ruschii,Abrawayaomys ruschii,Cricetidae,20,0,0,0,0,0,10,0,40,30,Ref_3,D2,G,A,1,0,0,Ref_3,D2,63,Ref_117,1,,
3094,Abrocoma,bennettii,Abrocoma bennettii,Abrocomidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,250.5,Ref_58,1,,
3087,Abrocoma,boliviensis,Abrocoma boliviensis,Abrocomidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,158,Ref_117,1,,
3088,Abrocoma,budini,Abrocoma budini,Abrocomidae,0,0,0,0,0,0,0,0,0,100,Ref_2,D1,G,A,1,0,0,Ref_2,D1,214.69,"Ref_2, Ref_3",0,,
3089,Abrocoma,cinerea,Abrocoma cinerea,Abrocomidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,250,Ref_117,1,,
3090,Abrocoma,famatina,Abrocoma famatina,Abrocomidae,0,0,0,0,0,0,0,0,0,100,Ref_2,D1,G,A,1,0,0,Ref_2,D1,214.69,"Ref_2, Ref_3",0,,
3091,Abrocoma,shistacea,Abrocoma shistacea,Abrocomidae,0,0,0,0,0,0,0,0,0,100,Ref_2,D1,G,A,1,0,0,Ref_2,D1,214.69,"Ref_2, Ref_3",0,,
3092,Abrocoma,uspallata,Abrocoma uspallata,Abrocomidae,0,0,0,0,0,0,0,0,0,100,Ref_2,D1,G,A,1,0,0,Ref_2,D1,214.69,"Ref_2, Ref_3",0,,
3093,Abrocoma,vaccarum,Abrocoma vaccarum,Abrocomidae,0,0,0,0,0,0,0,0,0,100,Ref_2,D1,G,A,1,0,0,Ref_1,ABC,214.69,"Ref_2, Ref_3",0,,
1659,Abrothrix,andina,Abrothrix andina,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,24.91,Ref_58,1,,
1666,Abrothrix,hershkovitzi,Abrothrix hershkovitzi,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,32.42,Ref_178,2,,
1665,Abrothrix,illuteus,Abrothrix illuteus,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,47.79,Ref_58,1,,
1664,Abrothrix,jelskii,Abrothrix jelskii,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,34.5,Ref_58,1,,
1663,Abrothrix,lanosus,Abrothrix lanosus,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,27.83,Ref_58,1,,
1662,Abrothrix,longipilis,Abrothrix longipilis,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,38.86,Ref_58,1,,
1661,Abrothrix,markhami,Abrothrix markhami,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,29.03,Ref_178,2,,
1660,Abrothrix,olivaceus,Abrothrix olivaceus,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,24.52,Ref_58,1,,
1667,Abrothrix,sanborni,Abrothrix sanborni,Cricetidae,30,0,0,0,0,0,0,0,0,70,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,24.7,Ref_58,1,,
3667,Acerodon,celebensis,Acerodon celebensis,Pteropodidae,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,1,0,0,Ref_1,ABC,390,Ref_117,1,,
3668,Acerodon,humilis,Acerodon humilis,Pteropodidae,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,1,0,0,Ref_1,ABC,462.47,Ref_178,2,,
3669,Acerodon,jubatus,Acerodon jubatus,Pteropodidae,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,1,0,0,Ref_1,ABC,1075,Ref_117,1,,
3670,Acerodon,leucotis,Acerodon leucotis,Pteropodidae,0,0,0,0,0,0,100,0,0,0,Ref_2,D1,Ar,A,1,0,0,Ref_1,ABC,462.47,Ref_178,2,,
3671,Acerodon,mackloti,Acerodon mackloti,Pteropodidae,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,1,0,0,Ref_1,ABC,470.33,Ref_117,1,,
4791,Acinonyx,jubatus,Acinonyx jubatus,Felidae,0,100,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,0,0,1,Ref_1,ABC,46700,Ref_117,1,,
2048,Acomys,airensis,Acomys airensis,Muridae,10,0,0,0,30,0,0,0,10,50,Ref_2,D1,G,A,1,1,0,Ref_1,ABC,28.81,"Ref_2, Ref_3",0,,
2063,Acomys,cahirinus,Acomys cahirinus,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,52.45,Ref_117,1,,
2062,Acomys,chudeaui,Acomys chudeaui,Muridae,10,0,0,0,30,0,0,0,10,50,Ref_2,D1,G,A,1,1,0,Ref_1,ABC,28.81,"Ref_2, Ref_3",0,,
2061,Acomys,cilicicus,Acomys cilicicus,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,28.61,Ref_178,2,,
2060,Acomys,cineraceus,Acomys cineraceus,Muridae,10,0,0,0,30,0,0,0,10,50,Ref_2,D1,G,A,1,1,0,Ref_1,ABC,30.59,Ref_178,2,,
2059,Acomys,dimidiatus,Acomys dimidiatus,Muridae,10,0,0,0,30,0,0,0,10,50,Ref_2,D1,G,A,1,1,0,Ref_1,ABC,28.81,"Ref_2, Ref_3",0,,
2058,Acomys,ignitus,Acomys ignitus,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,24,Ref_117,1,,
2057,Acomys,johannis,Acomys johannis,Muridae,10,0,0,0,30,0,0,0,10,50,Ref_2,D1,G,A,1,1,0,Ref_1,ABC,28.81,"Ref_2, Ref_3",0,,
2055,Acomys,kempi,Acomys kempi,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,22,Ref_117,1,,
2064,Acomys,louisae,Acomys louisae,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,20.2,Ref_117,1,,
2047,Acomys,minous,Acomys minous,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,62.5,Ref_117,1,,
2056,Acomys,mullah,Acomys mullah,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,28.74,Ref_178,2,,
2049,Acomys,nesiotes,Acomys nesiotes,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,28.67,Ref_178,2,,
2050,Acomys,percivali,Acomys percivali,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,22,Ref_117,1,,
2053,Acomys,russatus,Acomys russatus,Muridae,20,0,0,0,40,0,0,0,10,30,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,49.75,Ref_117,1,,
2054,Acomys,seurati,Acomys seurati,Muridae,10,0,0,0,30,0,0,0,10,50,Ref_2,D1,G,A,1,1,0,Ref_1,ABC,28.81,"Ref_2, Ref_3",0,,
2051,Acomys,spinosissimus,Acomys spinosissimus,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,26.5,Ref_117,1,,
2065,Acomys,subspinosus,Acomys subspinosus,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,21,Ref_117,1,,
2052,Acomys,wilsoni,Acomys wilsoni,Muridae,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,18.5,Ref_117,1,,
3075,Aconaemys,fuscus,Aconaemys fuscus,Octodontidae,0,0,0,0,0,0,40,0,0,60,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,133.5,Ref_117,1,,
3076,Aconaemys,porteri,Aconaemys porteri,Octodontidae,0,0,0,0,0,0,40,0,0,60,Ref_2,D1,G,A,1,1,1,Ref_2,D1,113.5,"Ref_2, Ref_3",0,,
3074,Aconaemys,sagei,Aconaemys sagei,Octodontidae,0,0,0,0,0,0,40,0,0,60,Ref_1,ABC,G,A,0,0,1,Ref_1,ABC,96.5,Ref_117,1,,
259,Acrobates,pygmaeus,Acrobates pygmaeus,Acrobatidae,80,0,0,0,0,0,0,10,0,10,Ref_1,ABC,Ar,A,1,0,0,Ref_1,ABC,12,Ref_117,1,,
5258,Addax,nasomaculatus,Addax nasomaculatus,Bovidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,70000.32,Ref_117,1,,
1668,Aepeomys,lugens,Aepeomys lugens,Cricetidae,20,0,0,0,0,0,10,0,40,30,Ref_3,D2,G,A,1,0,0,Ref_3,D2,37,Ref_117,1,,
1669,Aepeomys,reigi,Aepeomys reigi,Cricetidae,20,0,0,0,0,0,10,0,40,30,Ref_3,D2,G,A,1,0,0,Ref_3,D2,37,"Ref_2, Ref_3",0,,
5194,Aepyceros,melampus,Aepyceros melampus,Bovidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,52500.08,Ref_117,1,,
327,Aepyprymnus,rufescens,Aepyprymnus rufescens,Potoroidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,3250,Ref_117,1,,
888,Aeretes,melanopterus,Aeretes melanopterus,Sciuridae,10,0,0,0,0,0,20,0,50,20,Ref_3,D2,Ar,A,1,0,0,Ref_1,ABC,753.23,Ref_178,2,,
