DataSet,POLYFID
1,6185
2,2200
3,2200
4,2200
5,2200
6,520
7,825
8,858
9,844
10,844
11,520
12,887
13,752
14,752
15,650
16,846
17,650
18,814
19,6185
20,745
21,778
22,712
23,680
24,6185
25,6185
26,6258
27,6258
28,2232
29,2232
30,2232
31,2232
32,2232
33,2232
34,2232
35,877
36,6319
37,6319
38,885
39,6285
40,6285
41,723
42,6249
43,6249
44,6249
45,6249
46,825
47,6285
48,2195
49,1403
50,2099
51,3021
52,8889
53,8889
54,4104
55,4104
56,650
57,2191
58,6379
59,2132
60,812
61,3723
62,785
63,650
64,680
65,8889
66,8857
67,8857
68,8857
69,8857
70,618
71,551
72,1144
73,6249
74,6249
75,6446
76,6445
77,6446
78,6282
79,619
80,619
81,4251
82,4219
83,4249
84,4184
85,2132
86,1113
87,1113
88,1113
89,1113
90,813
91,4357
92,1868
93,4121
94,4186
95,4249
96,6282
97,3149
98,3082
99,722
100,409
101,6284
102,2099
103,8794
104,744
105,3051
106,3049
107,2983
108,3151
109,553
110,2902
111,3021
112,1767
113,3119
114,2097
115,2130
116,2097
117,2134
118,2195
119,4160
120,4160
121,3090
122,3090
123,3051
124,3051
125,718
126,652
127,3342
128,716
129,716
130,750
131,1503
132,4133
133,3674
134,3673
135,3090
136,8727
137,8791
138,8798
139,8924
140,3090
141,3090
142,3090
143,3090
144,3090
145,3090
146,3090
147,3090
148,3090
149,3090
150,3090
151,3090
152,8371
153,616
154,680
155,718
156,718
157,718
158,718
159,2459
160,553
161,716
162,716
163,716
164,716
165,716
166,4281
167,4281
168,553
169,716
170,716
171,716
172,6285
173,6285
174,615
175,5213
176,716
177,716
178,2097
179,751
180,2167
181,647
182,647
183,746
184,746
185,652
186,8461
187,3091
188,716
189,716
190,652
191,652
192,652
193,721
194,683
195,848
196,655
197,848
198,789
199,687
200,618
201,618
202,712
203,649
204,555
205,6153
206,716
207,3093
208,6285
209,1245
210,651
211,651
212,858
213,4282
214,4281
215,552
216,4326
217,3090
218,4217
219,3186
220,3186
221,3756
222,3756
223,3504
224,3127
225,332
226,2233
227,2167
228,4185
229,1113
230,34
231,175
232,4282
233,4282
234,4282
235,4282
236,4282
237,4282
238,4282
239,4282
240,4282
241,4282
242,4282
243,4282
244,4282
245,1178
246,8890
247,8890
249,2167
250,4248
251,650
252,520
253,618
254,553
255,821
256,888
257,888
258,650
259,855
260,855
261,97
262,520
263,389
264,821
265,821
266,821
267,821
268,821
269,821
270,821
271,853
272,812
273,3160
274,648
275,684
276,555
277,620
278,551
279,4261
280,888
281,27
282,217
283,920
284,2132
285,8889
286,812
