DataSet,Study,Journal,Raptor order,Raptor family,Raptor genus,RaptorScientificName,Raptor common name,Continent,Country,Latitude (decimal degree),Longitude (decimal degree),Riparian/Lake,Woodland/Forest/Rainforest,Orchard/Plantation Forest,Pasture (grazed land),Prairie/Grassland/Meadow,Scrub/Shrub/Heath,Urban,Agriculture,Wetland/Marsh/Floodplain,Desert,Tundra,Coastal/Beach/Island,Season of collection,"Start quarter (1:Dec-Feb, 2: Mar-May, 3: Jun-Aug, 4: Sept-Nov)",End quarter,Pellets,Prey remains,Direct observations,DNA,Stomach/Gullet contents,Photos/ Videos,Num_obs,Notes,Year,PelletNumber,PreyPerPellet,
1,Jaksic and Yanez 1979,The Auk,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Chile,-33.675,-71.042,,,,,,,,,,,,,,,,X,,,,,,1348,,1976,1035,1.3,
2,Bose and Guidali 2001,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,45.364,10.439,,X,,,,,,X,,,,,,1,,X,,,,,,875,,1993.5,,,
3,Bose and Guidali 2001,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,45.364,10.439,,X,,,,,,X,,,,,,2,,X,,,,,,521,,1993.5,,,
4,Bose and Guidali 2001,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,45.364,10.439,,X,,,,,,X,,,,,,3,,X,,,,,,2539,,1993.5,,,
5,Bose and Guidali 2001,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,45.364,10.439,,X,,,,,,X,,,,,,4,,X,,,,,,799,,1993.5,,,
6,Cava et al 2012,The Wilson Journal of Ornithology,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,Canada,48.435,-123.366,,,,,,,X,,,,,,Breeding,2,3,,X,,,,,2806,,2002.5,,,
7,Meng Heinz 1959,The Wilson Bulletin,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,42.445,-76.498,,,,,,,,,,,,,Breeding,,,X,X,,,,,853,,1949,,,
8,Meng Heinz 1959,The Wilson Bulletin,Accipitriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,North America,USA,41.999,-76.638,,,,,,,,,,,,,Breeding,,,X,X,,,,,185,,1949,,,
9,Estes and Mannan 2003,The Condor,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,32.217,-110.917,,,,,,,X,,,,,,Breeding,2,3,,X,X,,,,151,,1999.5,,,
10,Estes and Mannan 2003,The Condor,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,32.217,-110.917,,X,,,,X,,,,,,,Breeding,2,3,,X,X,,,,77,,1999.5,,,
