"DataSet","lat","lon","subbiome","biome","ecozone","subbiome_n","biome_n","ecozone_n"
1,-33.675,-71.042,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
2,45.364,10.439,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
3,45.364,10.439,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
4,45.364,10.439,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
5,45.364,10.439,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
6,48.435,-123.366,"4b",4,"BA","4b. Conifer coastal forests","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
7,42.445,-76.498,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
8,41.999,-76.638,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
9,32.217,-110.917,"7c",7,"CA","7c. Warm deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
10,32.217,-110.917,"7c",7,"CA","7c. Warm deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
11,48.494,-122.897,"4b",4,"BA","4b. Conifer coastal forests","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
12,39.463,-87.383,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
13,41.928,-102.499,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
14,41.928,-102.499,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
15,43.094,-116.042,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
16,34.7,-106.4,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
17,43.094,-116.042,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
18,36.38,-108.05,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
19,-33.127,-70.889,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
20,34.296,-118.55,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
21,33.283,-117.097,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
22,36.38,-121.567,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
23,36.923,-121.768,"4b",4,"BA","4b. Conifer coastal forests","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
24,-33.433,-70.783,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
25,-33.35,-70.533,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
26,-29.583,-52.2,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
27,-29.583,-52.2,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
28,43.322,11.484,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
29,43.322,11.484,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
30,43.322,11.484,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
31,43.322,11.484,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
32,43.322,11.484,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
33,43.322,11.484,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
34,43.322,11.484,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
35,29.165,-109.684,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
36,-37.667,-59.383,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
37,-37.667,-59.383,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
38,37.348,-92.07,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
39,-36.5,-63.85,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
40,-36.5,-63.85,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
41,46.833,-92.183,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
42,-36.766,-73.05,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
43,-36.766,-73.05,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
44,-36.766,-73.05,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
45,-36.766,-73.05,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
46,42.403,-77.674,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
47,-36.14,-63.857,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
48,36.14,3.273,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
49,38.757,-7.19,"5a",5,"B","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
50,42.054,-1.416,"5a",5,"B","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
