"POLYFID","species"
1,17
5,7
6,9
7,5
25,8
26,16
27,22
28,23
29,23
32,10
33,11
34,9
35,13
36,10
37,5
58,18
59,21
60,8
62,12
63,15
64,16
65,18
66,17
67,12
68,5
79,1
80,1
81,1
91,12
92,7
93,8
94,10
95,13
96,16
97,17
98,16
99,17
100,12
101,4
110,3
111,1
112,1
113,1
114,1
115,1
123,2
125,6
126,8
127,13
128,17
129,17
130,17
131,17
132,17
133,9
141,3
142,3
143,3
144,1
145,1
146,1
147,1
148,1
149,1
155,1
159,7
160,16
161,16
162,18
163,18
164,17
165,17
166,11
169,3
170,3
171,3
172,2
173,4
174,3
175,3
176,2
177,1
178,1
180,1
181,1
182,1
185,3
187,1
194,16
195,20
196,17
197,18
198,17
199,13
200,6
201,4
202,4
203,3
204,3
205,3
206,4
207,3
208,3
209,3
210,1
213,1
214,2
215,2
217,3
218,3
227,18
228,21
229,17
230,17
231,18
232,12
233,7
234,4
235,4
236,3
237,2
238,3
239,3
240,4
241,3
242,3
243,1
246,2
247,2
249,5
250,5
260,19
261,18
262,17
263,17
264,16
265,12
266,8
267,4
268,4
269,4
270,4
271,3
272,3
275,2
276,2
278,2
279,3
282,3
292,17
293,20
294,18
295,18
296,17
297,15
298,12
299,6
300,4
301,4
302,4
303,3
304,4
305,4
306,3
308,2
309,3
311,3
312,3
324,13
325,19
326,19
327,18
328,17
329,16
330,15
331,12
332,6
333,4
334,4
335,4
336,4
337,3
338,3
339,3
341,3
342,3
343,1
344,2
357,17
358,19
359,17
360,18
361,17
362,16
363,15
364,10
365,5
366,4
367,4
368,4
369,4
370,3
371,3
372,3
373,3
374,3
375,3
376,2
377,2
389,12
390,18
391,20
392,20
393,19
394,16
395,16
396,15
397,10
398,6
399,4
400,4
401,4
402,4
403,4
404,3
405,3
407,3
408,3
409,3
410,3
421,9
422,17
423,21
424,19
425,20
426,18
427,16
428,16
429,13
430,11
431,5
432,5
433,4
434,4
435,4
436,4
437,4
440,2
441,3
442,3
454,15
455,21
456,20
457,20
458,21
459,17
460,16
461,16
462,13
463,9
464,7
465,3
466,4
467,5
468,5
469,4
470,4
487,20
488,25
489,23
490,24
491,21
492,19
493,15
494,16
495,16
496,13
499,4
500,5
501,5
502,6
503,6
519,19
520,25
521,25
522,24
523,25
524,25
525,19
526,16
527,15
528,16
529,12
532,7
533,7
534,8
535,8
536,9
551,20
552,27
553,27
554,26
555,25
556,22
557,24
558,20
559,18
560,16
561,15
562,13
564,5
565,6
566,10
567,11
568,12
569,11
570,9
583,22
584,27
585,26
586,25
587,24
588,18
589,17
590,23
591,18
592,19
593,17
594,16
595,13
596,10
597,11
598,9
599,10
600,9
601,11
602,10
603,9
615,25
616,27
617,23
618,24
619,25
620,23
621,18
622,16
623,23
624,20
625,18
626,17
627,17
628,13
629,13
630,10
631,9
632,9
633,10
634,10
635,11
647,25
648,26
649,21
650,21
651,24
652,24
653,22
654,17
655,15
656,22
657,21
658,18
659,17
660,16
661,15
662,15
663,13
664,13
665,15
666,13
667,11
679,19
680,25
681,23
682,18
683,20
684,23
685,24
686,20
687,14
688,16
689,20
690,21
691,18
692,17
693,17
694,17
695,16
696,15
697,18
698,18
699,18
712,21
713,21
714,17
715,19
716,22
717,24
718,24
719,16
720,15
721,15
722,20
723,19
724,19
725,18
726,18
727,17
728,17
729,17
730,19
731,18
744,14
745,20
746,19
747,22
748,22
749,24
750,24
751,23
752,16
753,15
754,17
755,19
756,17
757,16
758,20
759,20
760,20
761,21
762,20
763,18
777,17
778,25
779,29
780,22
781,22
782,23
783,27
784,15
785,13
786,15
787,16
788,18
789,18
790,18
791,19
792,20
793,20
794,18
795,17
808,3
809,3
810,20
811,21
812,30
813,23
814,26
815,25
816,18
817,12
818,15
819,14
820,17
821,16
822,16
823,19
824,19
825,19
826,17
827,19
841,3
842,16
843,18
844,28
845,30
846,26
847,21
848,19
849,13
850,13
851,13
852,13
853,14
854,13
855,17
856,18
857,17
858,16
859,18
874,11
875,17
876,27
877,33
878,26
879,23
880,18
881,13
882,14
883,13
884,14
885,15
886,14
887,15
888,15
889,13
890,19
891,16
907,15
908,20
909,39
910,24
911,20
912,18
913,16
914,15
915,14
916,12
917,13
918,13
919,12
920,13
921,14
922,17
923,15
940,14
941,30
942,37
943,19
944,22
945,17
946,15
947,12
948,11
949,12
950,12
951,12
952,13
953,13
954,13
955,15
972,12
973,12
974,38
975,29
976,18
977,23
978,19
979,17
980,18
981,13
982,12
983,13
984,13
985,12
986,12
987,15
1002,2
1003,1
1004,1
1006,22
1007,39
1008,22
1009,26
1010,30
1011,20
1012,17
1013,11
1014,14
1015,12
1016,13
1017,13
1018,13
1019,13
1021,11
1022,12
1023,12
1026,13
1028,17
1029,16
1030,16
1031,16
1032,12
1033,10
1048,12
1049,2
1050,14
1051,19
1062,16
1063,14
1064,12
1065,11
1066,9
1079,8
1080,15
1081,15
1084,1
1095,4
1097,10
1098,10
1112,14
1113,16
1116,14
1117,3
1143,3
1144,8
1145,17
1146,18
1147,14
1148,4
1149,4
1176,8
1177,13
1178,18
1179,14
1180,15
1181,3
1182,3
1209,2
1210,11
1211,16
1212,14
1213,15
1214,3
