"POLYFID","species"
1,45
3,2
4,6
5,7
6,26
7,19
19,1
20,1
25,5
26,24
27,31
28,39
29,42
31,2
32,23
33,23
34,24
35,24
36,22
37,18
58,31
59,36
60,15
62,27
63,31
64,29
65,32
66,30
67,26
68,19
79,5
80,5
81,5
91,27
92,1
93,18
94,26
95,32
96,33
97,34
98,32
99,31
100,26
101,19
110,5
111,5
112,5
113,5
114,5
115,5
118,1
123,7
126,20
127,30
128,35
129,34
130,35
131,35
132,34
133,28
141,6
142,5
143,7
144,5
145,4
146,2
147,5
148,5
149,5
155,2
159,6
160,34
161,33
162,37
163,38
164,38
165,34
166,26
169,6
170,5
171,5
172,3
173,4
174,6
175,7
176,5
177,2
178,1
179,1
180,4
181,5
182,4
185,4
187,2
194,33
195,39
196,37
197,38
198,33
199,25
200,20
201,6
202,6
203,7
204,6
205,3
206,6
207,5
208,6
209,3
210,1
211,1
212,1
213,4
214,4
215,4
217,4
218,4
227,35
228,42
229,37
230,37
231,29
232,24
233,18
234,6
235,6
236,7
237,3
238,5
239,5
240,6
241,5
242,1
243,2
244,1
245,1
246,2
247,3
249,4
250,4
260,43
261,48
262,40
263,38
264,27
265,22
266,17
267,5
268,5
269,4
270,4
271,8
272,8
275,3
276,3
277,1
278,1
279,1
282,4
292,35
293,48
294,48
295,42
296,34
297,27
298,22
299,15
300,14
301,5
302,12
303,7
304,7
305,7
306,7
308,4
309,4
310,1
311,1
312,1
324,10
325,43
326,47
327,49
328,46
329,31
330,28
331,21
332,14
333,14
334,14
335,13
336,12
337,7
338,7
339,7
341,4
342,4
343,1
344,1
357,36
358,48
359,48
360,50
361,41
362,32
363,30
364,20
365,15
366,14
367,13
368,12
369,11
370,7
371,7
372,7
373,7
374,4
375,4
376,1
377,1
389,7
390,48
391,52
392,49
393,44
394,40
395,37
396,33
397,24
398,17
399,14
400,14
401,13
402,12
403,7
404,7
405,7
407,4
408,3
409,3
410,1
421,4
422,44
423,51
424,56
425,48
426,42
427,41
428,34
429,31
430,25
431,18
432,16
433,15
434,5
435,7
436,7
437,7
441,4
442,3
454,38
455,57
456,56
457,58
458,49
459,41
460,38
461,34
462,29
463,23
464,17
465,1
466,5
467,12
468,12
469,7
470,7
487,51
488,67
489,63
490,55
491,52
492,43
493,33
494,34
495,34
496,29
500,13
501,14
502,14
503,14
519,58
520,79
521,73
522,67
523,53
524,51
525,47
526,35
527,32
528,33
529,31
532,15
533,15
534,22
535,23
536,21
551,73
552,96
553,92
554,67
555,63
556,50
557,56
558,53
559,41
560,32
561,32
562,27
564,1
565,24
566,24
567,24
568,25
569,29
570,29
583,82
584,99
585,87
586,80
587,74
588,55
589,56
590,53
591,53
592,43
593,37
594,32
595,30
596,26
597,25
598,25
599,22
600,27
601,32
602,32
603,30
615,85
616,106
617,80
618,86
619,76
620,78
621,55
622,54
623,60
624,53
625,42
626,38
627,36
628,31
629,29
630,26
631,25
632,29
633,30
634,31
635,31
647,82
648,109
649,79
650,78
651,82
652,78
653,71
654,58
655,62
656,57
657,58
658,44
659,41
660,37
661,35
662,33
663,34
664,37
665,37
666,36
667,30
679,54
680,106
681,104
682,80
683,89
684,87
685,80
686,69
687,63
688,58
689,59
690,58
691,45
692,44
693,44
694,40
695,38
696,37
697,37
698,43
699,38
712,68
713,115
714,80
715,83
716,93
717,87
718,74
719,76
720,56
721,52
722,60
723,57
724,48
725,46
726,45
727,41
728,42
729,43
730,47
731,42
744,50
745,99
746,89
747,101
748,95
749,93
750,95
751,88
752,66
753,56
754,53
755,57
756,55
757,49
758,56
759,46
760,49
761,50
762,49
763,46
777,58
778,94
779,94
780,104
781,95
782,99
783,103
784,62
785,57
786,59
787,53
788,57
789,54
790,45
791,52
792,53
793,54
794,50
795,50
808,1
809,1
810,80
811,78
812,105
813,97
814,109
815,99
816,71
817,65
818,63
819,57
820,49
821,57
822,52
823,53
824,51
825,55
826,54
827,52
841,1
842,54
843,80
844,96
845,122
846,111
847,102
848,73
849,63
850,69
851,59
852,53
853,51
854,51
855,47
856,49
857,55
858,58
859,50
874,39
875,60
876,85
877,117
878,101
879,96
880,73
881,66
882,62
883,65
884,56
885,56
886,59
887,52
888,52
889,64
890,60
891,53
907,46
908,83
909,110
910,101
911,97
912,97
913,67
914,66
915,60
916,60
917,57
918,54
919,57
920,58
921,63
922,62
923,46
940,54
941,90
942,127
943,89
944,95
945,89
946,66
947,57
948,57
949,50
950,52
951,50
952,67
953,69
954,63
955,50
972,43
973,45
974,115
975,114
976,89
977,93
978,74
979,63
980,53
981,49
982,44
983,50
984,54
985,68
986,65
987,46
1003,1
1004,1
1006,83
1007,140
1008,94
1009,110
1010,93
1011,61
1012,44
1013,38
1014,41
1015,46
1016,50
1017,52
1018,52
1019,44
1021,39
1022,40
1023,41
1026,40
1028,42
1029,40
1030,39
1031,15
1032,11
1033,9
1048,25
1049,7
1050,26
1051,34
1062,39
1063,11
1064,11
1065,11
1066,8
1079,5
1080,26
1081,26
1084,1
1095,1
1097,8
1098,8
1112,28
1113,33
1116,33
1117,4
1143,20
1144,25
1145,37
1146,37
1147,32
1148,3
1149,7
1155,1
1176,23
1177,39
1178,42
1179,39
1180,29
1181,2
1182,4
1187,1
1209,2
1210,36
1211,54
1212,28
1213,28
1214,5
1242,46
1243,53
1244,20
1245,35
1246,30
1247,6
1275,49
1277,22
1278,19
1279,19
1280,18
1306,49
1311,20
1312,20
1313,20
1330,4
1331,5
1338,59
1339,71
1345,22
1346,14
1363,6
1364,7
1370,57
1371,67
1372,159
1374,140
1378,14
1379,14
1380,5
1397,7
1402,46
1403,57
1404,184
1405,199
1406,176
1407,192
1408,144
1412,12
1435,48
1437,226
1438,205
1439,214
1440,203
1441,177
1442,1
1444,13
1445,15
1468,19
1469,219
1470,241
1471,247
1472,232
1473,203
1474,184
1475,21
1477,17
1496,6
1497,6
1500,188
1501,239
1502,278
1503,258
1504,217
1505,175
1506,189
1507,184
1508,188
1509,38
1510,10
1529,2
1532,255
1533,301
1534,262
1535,211
1536,177
1537,193
1538,206
1539,196
1540,195
1541,171
1561,11
1562,7
1564,277
1565,249
1566,216
1567,183
1568,181
1569,174
1570,205
1571,202
1572,202
1573,198
1574,168
1593,7
1594,15
1595,39
1596,255
1597,210
1598,204
1599,190
1600,183
1601,178
1602,197
1603,206
1604,206
1605,217
1606,197
1626,21
1627,32
1628,226
1629,230
1630,216
1631,213
1632,185
1633,183
1634,198
1635,195
1636,192
1637,206
1638,210
1639,195
1640,174
1658,23
1659,29
1660,129
1661,250
1662,220
1663,225
1664,208
1665,194
1666,189
1667,182
1668,186
1669,189
1670,197
1671,192
1672,189
1673,184
1674,1
1690,21
1691,24
1692,53
1693,226
1694,228
1695,215
1696,199
1697,191
1698,183
1699,197
1700,171
1701,194
1702,176
1703,191
1704,186
1705,183
1706,181
1719,3
1723,29
1724,1
1725,146
1726,257
1727,217
1728,199
1729,193
1730,183
1731,181
1732,188
1733,215
1734,209
1735,177
1736,176
1737,179
1738,176
1751,2
1752,2
1755,40
1757,54
1758,212
1759,260
1760,211
1761,189
1762,185
1763,179
1764,185
1765,177
1766,191
1767,204
1768,213
1769,198
1770,189
1771,163
1784,2
1787,69
1789,18
1790,74
1791,212
1792,267
1793,221
1794,196
1795,193
1796,177
1797,166
1798,165
1799,169
1800,184
1801,179
1802,192
1803,176
1804,164
1819,73
1822,25
1823,75
1824,202
1825,270
1826,190
1827,190
1828,168
1829,163
1830,158
1831,155
1832,146
1833,155
1834,167
1835,175
1836,165
1837,151
1855,16
1856,79
1857,205
1858,208
1859,178
1860,182
1861,169
1862,160
1863,153
1864,142
1865,139
1866,142
1867,150
1868,157
1869,146
1870,134
1888,42
1889,84
1890,220
1891,197
1892,175
1893,179
1894,160
1895,144
1896,140
1897,129
1898,133
1899,138
1900,143
1901,137
1902,132
1903,118
1904,108
1920,14
1921,39
1922,89
1923,227
1924,187
1925,167
1926,162
1927,149
1928,138
1929,135
1930,135
1931,130
1932,127
1933,127
1934,121
1935,121
1936,120
1937,114
1952,16
1953,36
1954,70
1955,143
1956,155
1957,144
1958,147
1959,140
1960,137
1961,136
1962,137
1963,134
1964,131
1965,125
1966,124
1967,128
1968,129
1969,122
1970,108
1984,19
1985,35
1986,106
1987,146
1988,118
1989,97
1990,142
1991,138
1992,131
1993,133
1994,138
1995,146
1996,145
1997,134
1998,134
1999,134
2000,131
2001,133
2002,129
2003,122
2015,16
2016,22
2017,41
2018,114
2019,124
2020,90
2021,93
2022,127
2023,130
2024,127
2025,126
2026,129
2027,134
2028,146
2029,146
2030,141
2031,137
2032,144
2033,149
2034,147
2035,137
2050,87
2051,120
2052,95
2053,66
2054,33
2055,26
2056,22
2057,24
2058,27
2059,47
2060,66
2061,56
2062,39
2063,61
2064,51
2065,62
2066,66
2067,73
2068,62
2069,62
2070,56
2071,56
2072,50
2073,44
2074,41
2075,39
2083,117
2084,131
2085,84
2086,51
2087,30
2088,20
2089,17
2090,17
2091,22
2092,42
2093,70
2094,67
2095,57
2096,71
2097,52
2098,54
2099,68
2100,77
2101,71
2102,67
2103,62
2104,62
2105,59
2106,54
2107,51
2114,105
2115,164
2116,140
2117,118
2118,78
2119,44
2120,21
2121,16
2122,14
2123,15
2124,19
2125,25
2126,49
2127,67
2128,62
2129,63
2130,44
2131,52
2132,72
2133,77
2134,82
2135,78
2136,67
2137,61
2138,59
2139,55
2147,151
2148,179
2149,117
2150,98
2151,73
2152,41
2153,19
2154,14
2155,13
2156,13
2157,15
2158,28
2159,42
2160,53
2161,62
2162,51
2163,6
2164,26
2166,77
2167,85
2168,87
2169,70
2170,67
2171,66
2179,123
2180,192
2181,163
2182,99
2183,92
2184,67
2185,44
2186,19
2187,13
2188,15
2189,13
2190,13
2191,23
2192,28
2193,46
2194,59
2195,53
2198,43
2199,69
2200,83
2201,85
2202,75
2203,72
2211,104
2212,158
2213,213
2214,127
2215,102
2216,83
2217,70
2218,52
2219,19
2220,14
2221,14
2222,14
2223,21
2224,24
2225,28
2226,39
2227,59
2228,58
2229,52
2230,37
2231,60
2232,67
2233,83
2234,86
2235,81
2244,119
2245,177
2246,178
2247,148
2248,101
2249,85
2250,68
2251,51
2252,29
2253,20
2254,17
2255,23
2256,24
2257,21
2258,20
2259,39
2260,61
2261,52
2262,57
2263,4
2264,66
2265,75
2266,80
2267,73
2277,112
2278,169
2279,187
2280,149
2281,104
2282,90
2283,69
2284,47
2285,29
2286,20
2287,27
2288,25
2289,26
2290,17
2291,22
2292,46
2293,50
2294,7
2295,57
2296,63
2297,53
2298,81
2299,82
2310,116
2311,163
2312,196
2313,140
2314,114
2315,92
2316,58
2317,42
2318,25
2319,28
2320,30
2321,27
2322,21
2323,21
2324,33
2325,45
2327,38
2328,55
2329,66
2330,81
2331,79
2343,113
2344,180
2345,171
2346,133
2347,116
2348,82
2349,53
2350,40
2351,28
2352,27
2353,27
2354,24
2355,19
2356,21
2357,34
2358,30
2361,54
2362,75
2363,82
2377,137
2378,161
2379,122
2380,107
2381,82
2382,53
2383,49
2384,34
2385,23
2386,23
2387,20
2388,21
2389,21
2390,29
2393,42
2394,62
2395,65
2410,121
2411,155
2412,117
2413,104
2414,73
2415,57
2416,46
2417,23
2418,19
2419,13
2420,18
2421,20
2422,24
2423,46
2424,39
2426,49
2427,51
2442,70
2443,140
2444,134
2445,120
2446,95
2447,72
2448,54
2449,31
2450,17
2451,19
2452,20
2453,15
2454,18
2455,28
2456,37
2457,43
2458,32
2459,57
2475,95
2476,169
2477,135
2478,118
2479,87
2480,78
2481,50
2482,25
2483,18
2484,18
2485,15
2486,15
2487,14
2488,20
2489,37
2490,35
2506,8
2507,4
2508,194
2509,203
2510,131
2511,113
2512,101
2513,78
2514,46
2515,25
2516,20
2517,18
2518,15
2519,14
2520,14
2521,19
2522,40
2523,36
2538,94
2539,122
2540,157
2541,191
2542,182
2543,121
2544,109
2545,90
2546,65
2547,42
2548,24
2549,13
2550,13
2551,15
2552,14
2553,14
2554,28
2555,62
2571,109
2572,141
2573,168
2574,191
2575,156
2576,110
2577,96
2578,82
2579,62
2580,41
2581,24
2582,16
2583,14
2584,14
2585,16
2586,20
2587,45
2603,110
2604,122
2605,150
2606,164
2607,192
2608,131
2609,105
2610,102
2611,79
2612,58
2613,38
2614,22
2615,15
2616,12
2617,16
2618,20
2619,37
2635,122
2636,133
2637,130
2638,150
2639,156
2640,197
2641,128
2642,121
2643,110
2644,80
2645,66
2646,38
2647,24
2648,15
2649,16
2650,25
2651,35
2666,74
2667,98
2668,124
2669,138
2670,144
2671,152
2672,160
2673,187
2674,132
2675,121
2676,100
2677,75
2678,64
2679,37
2680,24
2681,27
2682,25
2683,36
2696,57
2697,84
2698,110
2699,121
2700,116
2701,114
2702,127
2703,111
2704,129
2705,151
2706,169
2707,131
2708,116
2709,88
2710,73
2711,55
2712,42
2713,35
2714,32
2715,32
2728,93
2729,122
2730,127
2731,123
2732,129
2733,113
2734,124
2735,127
2736,107
2737,113
2738,158
2739,185
2740,136
2741,110
2742,85
2743,73
2744,58
2745,63
2746,45
2747,40
2759,27
2760,87
2761,113
2762,111
2763,110
2764,123
2765,122
2766,124
2767,135
2768,122
2769,106
2770,124
2771,179
2772,190
2773,138
2774,107
2775,91
2776,80
2777,75
2778,65
2779,49
2791,39
2792,92
2793,102
2794,103
2795,94
2796,95
2797,120
2798,121
2799,134
2800,136
2801,118
2802,111
2803,166
2804,185
2805,205
2806,148
2807,99
2808,89
2809,89
2810,86
2811,68
2823,67
2824,88
2825,96
2826,102
2827,102
2828,92
2829,108
2830,126
2831,124
2832,114
2833,127
2834,130
2835,135
2836,163
2837,210
2838,206
2839,143
2840,103
2841,102
2842,101
2843,99
2854,34
2855,73
2856,85
2857,84
2858,80
2859,108
2860,111
2861,121
2862,149
2863,152
2864,143
2865,136
2866,128
2867,162
2868,243
2869,269
2870,268
2871,210
2872,143
2873,135
2874,119
2875,109
2886,68
2887,86
2888,76
2889,74
2890,68
2891,91
2892,121
2893,126
2894,131
2895,149
2896,155
2897,146
2898,143
2899,175
2900,233
2901,251
2902,239
2903,211
2904,192
2905,162
2906,148
2907,121
2918,85
2919,90
2920,78
2921,80
2922,70
2923,67
2924,95
2925,126
2926,149
2927,149
2928,156
2929,151
2930,146
2931,171
2932,161
2933,159
2934,183
2935,198
2936,231
2937,162
2938,172
2939,153
2950,92
2951,94
2952,74
2953,80
2954,88
2955,105
2956,104
2957,112
2958,147
2959,154
2960,162
2961,162
2962,156
2963,168
2964,171
2965,145
2966,168
2967,191
2968,253
2969,216
2970,133
2971,148
2983,98
2984,102
2985,87
2986,84
2987,108
2988,142
2989,141
2990,145
2991,139
2992,156
2993,163
2994,167
2995,171
2996,187
2997,179
2998,162
2999,191
3000,240
3001,237
3002,140
3003,92
3016,104
3017,123
3018,104
3019,104
3020,131
3021,164
3022,169
3023,171
3024,174
3025,169
3026,165
3027,163
3028,163
3029,169
3030,200
3031,202
3032,244
3033,198
3034,136
3035,79
3049,99
3050,95
3051,121
3052,146
3053,166
3054,154
3055,140
3056,160
3057,148
3058,161
3059,158
3060,103
3061,114
3062,138
3063,178
3064,221
3065,194
3066,146
3067,105
3068,83
3069,91
3070,88
3071,89
3072,133
3073,143
3074,115
3075,100
3076,91
3077,66
3078,52
3079,39
3080,36
3081,35
3082,37
3083,45
3084,67
3085,49
3087,53
3088,65
3089,64
3090,83
3091,82
3092,86
3093,82
3094,78
3095,77
3096,60
3097,57
3098,55
3099,44
3101,85
3102,83
3103,68
3104,76
3105,114
3106,112
3107,83
3108,79
3109,73
3110,50
3111,52
3112,33
3113,39
3114,26
3115,45
3116,71
3117,83
3118,28
3119,62
3120,70
3121,62
3122,74
3123,79
3124,85
3125,81
3126,79
3127,72
3128,63
3129,57
3130,52
3131,39
3134,83
3135,76
3136,64
3137,78
3138,91
3139,97
3140,79
3141,42
3142,44
3143,43
3144,45
3145,35
3146,30
3147,33
3148,35
3149,84
3150,80
3151,60
3152,69
3153,50
3154,66
3156,70
3157,72
3158,74
3159,63
3160,63
3161,58
3162,55
3163,51
3167,48
3168,52
3169,59
3170,75
3171,48
3172,52
3173,52
3174,48
3175,44
3176,41
3177,32
3178,26
3179,26
3180,24
3181,28
3182,42
3183,68
3184,76
3185,58
3186,60
3187,49
3188,50
3189,65
3190,60
3191,63
3192,60
3193,59
3194,57
3195,56
3200,34
3201,44
3202,50
3203,45
3204,27
3205,40
3206,34
3207,32
3208,26
3209,18
3210,20
3211,21
3212,24
3213,22
3214,24
3215,39
3216,54
3217,63
3218,66
3219,47
3220,64
3221,61
3222,62
3223,62
3224,62
3225,59
3226,60
3227,54
3234,37
3235,42
3236,36
3237,25
3238,29
3239,20
3240,19
3241,17
3242,27
3243,25
3244,21
3245,23
3246,35
3247,41
3248,54
3249,62
3250,79
3251,75
3252,74
3253,64
3254,61
3255,60
3256,66
3257,59
3258,55
3259,53
3268,32
3269,26
3270,27
3271,26
3272,18
3273,20
3274,22
3275,27
3276,25
3277,35
3278,41
3279,62
3280,65
3281,72
3282,88
3283,96
3284,92
3285,63
3286,64
3287,61
3288,62
3289,62
3290,57
3291,51
3301,6
3303,32
3304,26
3305,19
3306,21
3307,26
3308,27
3309,27
3310,62
3311,79
3312,74
3313,78
3314,95
3315,99
3316,96
3317,62
3318,58
3319,61
3320,63
3321,64
3322,57
3323,52
3326,2
3334,5
3336,33
3337,22
3338,16
3339,22
3340,18
3341,48
3342,67
3343,74
3344,77
3345,78
3346,83
3347,85
3348,80
3349,60
3350,49
3351,63
3352,68
3353,63
3354,64
3355,54
3368,26
3369,28
3370,25
3371,31
3372,32
3373,50
3374,62
3375,64
3376,62
3377,85
3378,1
3379,62
3380,32
3381,37
3382,47
3383,49
3384,59
3385,69
3386,66
3387,60
3402,29
3403,37
3404,36
3405,55
3406,59
3407,55
3408,51
3409,70
3410,88
3411,67
3412,47
3413,45
3414,51
3415,54
3416,60
3417,60
3418,65
3419,61
3435,31
3436,35
3437,41
3438,55
3439,53
3440,46
3441,57
3442,84
3443,84
3444,56
3445,47
3446,47
3447,49
3448,57
3449,57
3450,58
3451,55
3469,34
3470,52
3471,56
3472,49
3473,57
3474,74
3475,80
3476,53
3477,53
3478,51
3479,48
3480,51
3481,61
3482,60
3483,53
3502,49
3503,52
3504,48
3505,60
3506,68
3507,74
3508,55
3509,50
3510,49
3511,55
3512,54
3513,49
3514,52
3515,58
3534,32
3535,46
3536,50
3537,48
3538,58
3539,67
3540,57
3541,54
3542,42
3543,53
3544,56
3545,49
3546,51
3547,52
3566,52
3567,58
3568,68
3569,62
3570,57
3571,64
3572,76
3573,70
3574,52
3575,54
3576,54
3577,53
3578,51
3579,49
3598,56
3599,61
3600,55
3601,62
3602,55
3603,75
3604,86
3605,82
3606,73
3607,60
3608,55
3609,51
3610,48
3611,45
3617,1
3620,2
3621,1
3622,1
3623,1
3624,1
3625,1
3626,1
3630,60
3631,67
3632,55
3633,53
3634,51
3635,79
3636,105
3637,89
3638,77
3639,71
3640,65
3641,50
3642,55
3643,51
3653,2
3654,1
3655,1
3656,1
3657,1
3658,1
3659,63
3660,86
3661,84
3662,78
3663,78
3664,75
3665,62
3666,53
3667,57
3668,104
3669,98
3670,60
3671,78
3672,79
3673,61
3674,63
3675,51
3690,96
3691,95
3692,96
3693,82
3694,71
3695,73
3696,65
3697,66
3698,63
3699,66
3700,107
3701,95
3702,80
3703,64
3704,71
3705,78
3706,64
3707,54
3722,99
3723,109
3724,80
3725,78
3726,68
3727,73
3728,73
3729,63
3730,68
3731,69
3732,112
3733,99
3734,71
3735,53
3736,68
3737,79
3738,79
3739,69
3753,64
3754,80
3755,68
3756,69
3757,72
3758,71
3759,74
3760,78
3761,76
3762,63
3763,66
3764,123
3765,90
3766,49
3767,45
3768,30
3769,67
3770,80
3771,82
3786,83
3787,67
3789,49
3790,51
3791,65
3792,72
3793,73
3794,65
3795,58
3796,114
3797,107
3798,31
3799,40
3800,37
3801,30
3802,70
3803,75
3823,50
3824,68
3825,68
3826,65
3827,58
3828,103
3829,115
3830,30
3831,23
3832,44
3833,35
3834,47
3835,65
3857,68
3858,73
3859,70
3860,69
3861,149
3862,46
3863,22
3864,24
3865,45
3866,42
3867,58
3890,64
3891,76
3892,65
3893,149
3894,117
3895,25
3896,23
3897,29
3898,49
3899,48
3923,57
3924,66
3925,109
3926,180
3927,39
3928,24
3929,24
3930,42
3931,51
3951,1
3956,68
3957,99
3958,167
3959,110
3960,37
3961,25
3962,32
3963,45
3981,11
3982,15
3983,8
3984,16
3985,8
3986,58
3987,68
3988,110
3989,134
3990,152
3991,146
3992,89
3993,44
3994,34
3995,44
4012,19
4013,142
4017,3
4018,62
4019,95
4020,118
4021,142
4022,144
4023,153
4024,153
4025,111
4026,66
4027,49
4043,41
4044,158
4045,158
4046,127
4047,115
4048,107
4049,13
4050,125
4051,150
4052,167
4053,158
4054,150
4055,199
4056,186
4057,199
4058,92
4059,68
4074,39
4075,160
4076,153
4077,163
4078,149
4079,172
4080,149
4081,138
4082,153
4083,171
4084,169
4085,177
4086,188
4087,198
4088,216
4089,221
4090,154
4091,90
4092,93
4093,69
4094,59
4095,46
4096,49
4097,64
4098,41
4099,57
4100,69
4101,66
4102,81
4103,84
4104,65
4105,58
4106,51
4107,47
4108,50
4109,58
4110,54
4111,53
4112,51
4113,46
4114,47
4115,48
4116,45
4117,46
4118,50
4119,52
4120,52
4121,50
4122,39
4123,44
4124,150
4125,127
4126,86
4127,59
4128,68
4129,69
4130,57
4131,59
4132,73
4133,82
4134,79
4135,97
4136,87
4137,71
4138,56
4139,51
4140,53
4141,52
4142,52
4143,50
4144,48
4145,47
4146,46
4147,42
4148,42
4149,40
4150,40
4151,45
4152,46
4153,46
4154,45
4155,40
4156,99
4157,147
4158,125
4159,98
4160,76
4161,71
4162,48
4163,65
4164,74
4165,77
4166,91
4167,92
4168,82
4169,77
4170,66
4171,58
4172,53
4173,47
4174,45
4175,47
4176,42
4177,45
4178,41
4179,39
4180,38
4181,40
4182,36
4183,39
4184,43
4185,43
4186,38
4187,34
4188,112
4189,109
4190,126
4191,92
4192,71
4193,39
4194,44
4195,56
4196,63
4197,73
4198,80
4199,85
4200,85
4201,71
4202,64
4203,60
4204,48
4205,45
4206,42
4207,40
4208,38
4209,37
4210,37
4211,35
4212,32
4213,35
4214,33
4215,33
4216,36
4217,36
4218,28
4219,29
4220,107
4221,106
4222,124
4223,85
4224,72
4225,62
4226,54
4227,58
4228,64
4229,74
4230,77
4231,84
4232,81
4233,71
4234,62
4235,52
4236,44
4237,41
4238,39
4239,36
4240,34
4241,35
4242,39
4243,36
4244,33
4245,30
4246,24
4247,19
4248,29
4249,30
4250,30
4251,29
4252,71
4253,89
4254,86
4255,90
4256,68
4257,64
4258,63
4259,58
4260,56
4261,71
4262,66
4263,71
4264,67
4265,64
4266,59
4267,55
4268,47
4269,41
4270,36
4271,33
4272,32
4273,34
4274,36
4275,31
4276,25
4277,20
4278,16
4280,20
4281,24
4282,26
4283,24
4284,85
4285,75
4286,52
4287,65
4288,60
4289,68
4290,61
4291,55
4292,55
4293,63
4294,68
4295,73
4296,69
4297,59
4298,58
4299,57
4300,51
4301,43
4302,38
4303,33
4304,31
4305,31
4306,29
4307,26
4308,21
4309,7
4310,5
4313,19
4314,20
4315,5
4316,87
4317,74
4318,67
4319,47
4320,50
4321,61
