"POLYFID","species"
1,14
3,1
4,5
5,5
6,11
7,8
25,4
26,10
27,13
28,17
29,17
31,1
32,7
33,7
34,8
35,10
36,9
37,9
58,12
59,15
60,7
62,11
63,12
64,11
65,12
66,12
67,11
68,9
79,1
80,1
81,1
91,9
93,8
94,11
95,13
96,13
97,14
98,13
99,13
100,11
101,9
111,1
112,1
113,1
114,1
115,1
118,1
123,3
126,9
127,13
128,15
129,14
130,15
131,16
132,15
133,12
141,1
143,1
144,1
145,1
147,1
148,1
149,1
155,1
159,2
160,16
161,13
162,15
163,16
164,18
165,16
166,11
169,1
170,1
171,1
173,1
174,1
175,1
176,1
180,1
181,1
182,1
185,3
187,1
194,12
195,17
196,16
197,19
198,14
199,10
200,9
201,1
202,1
203,1
204,1
206,1
208,1
213,1
214,1
215,1
217,3
218,3
227,13
228,20
229,18
230,18
231,13
232,11
233,8
234,1
235,1
236,2
249,3
250,3
260,21
261,24
262,21
263,18
264,12
265,10
266,7
267,1
268,1
269,1
270,1
271,2
272,2
282,3
292,16
293,24
294,23
295,21
296,16
297,13
298,10
299,6
300,5
301,1
302,4
303,2
304,2
305,2
306,2
324,4
325,21
326,24
327,23
328,21
329,16
330,14
331,10
332,6
333,5
334,5
335,4
336,4
337,2
338,2
339,2
357,17
358,23
359,23
360,23
361,19
362,16
363,14
364,10
365,6
366,5
367,5
368,4
369,4
370,2
371,2
372,2
373,2
389,2
390,21
391,22
392,23
393,20
394,18
395,18
396,17
397,12
398,8
399,5
400,5
401,4
402,4
403,2
404,2
405,2
421,2
422,19
423,20
424,22
425,20
426,16
427,16
428,15
429,16
430,13
431,8
432,7
433,5
434,2
435,2
436,2
437,2
454,16
455,21
456,22
457,23
458,19
459,16
460,15
461,16
462,14
463,11
464,7
466,2
467,4
468,4
469,2
470,2
487,21
488,25
489,23
490,23
491,22
492,19
493,15
494,17
495,19
496,15
500,4
501,4
502,4
503,5
519,26
520,36
521,30
522,26
523,21
524,23
525,19
526,16
527,15
528,18
529,17
532,4
533,4
534,7
535,9
536,9
551,36
552,50
553,45
554,25
555,26
556,24
