"POLYFID","species"
1,7
5,4
6,4
7,2
25,3
26,5
27,8
28,8
29,9
32,5
33,5
34,4
35,7
36,4
37,1
58,6
59,8
60,3
62,7
63,8
64,8
65,8
66,7
67,5
68,1
91,4
92,3
93,3
94,4
95,7
96,8
97,8
98,8
99,8
100,5
101,1
110,1
125,3
126,3
127,7
128,8
129,8
130,8
131,9
132,8
133,4
141,1
142,1
143,1
159,4
160,7
161,7
162,7
163,9
164,9
165,8
166,6
169,1
170,1
171,1
172,1
173,1
174,1
175,1
194,6
195,9
196,9
197,9
198,9
199,8
200,2
201,1
202,1
203,1
204,1
205,1
206,1
207,1
227,7
228,9
229,8
230,8
231,9
232,6
233,3
234,1
235,1
236,1
237,1
238,1
239,1
240,1
249,1
250,1
260,7
261,8
262,8
263,8
264,7
265,6
266,3
267,1
268,1
269,1
270,1
271,1
272,1
282,1
292,6
293,8
294,8
295,8
296,8
297,6
298,5
299,2
300,1
301,1
302,1
304,1
305,1
309,1
324,7
325,8
326,8
327,8
328,8
329,7
330,6
331,5
332,2
333,1
334,1
335,1
336,1
341,1
342,1
357,7
358,8
359,8
360,8
361,8
362,7
363,6
364,3
365,1
366,1
367,1
368,1
369,1
374,1
375,1
389,6
390,7
391,8
392,8
393,8
394,7
395,7
396,6
397,2
398,1
399,1
400,1
401,1
402,1
403,1
407,1
408,1
409,1
410,1
421,6
422,7
423,8
424,8
425,8
426,8
427,7
428,7
429,5
430,3
431,1
432,1
433,1
434,1
435,1
436,1
437,1
440,1
441,1
442,1
454,7
455,8
456,8
457,8
458,9
459,7
460,7
461,7
462,5
463,3
464,2
465,1
466,1
467,2
468,2
469,1
470,1
487,8
488,9
489,9
490,10
491,9
492,7
493,7
494,7
495,7
496,5
499,1
500,2
501,2
502,2
503,2
519,8
520,9
521,10
522,10
523,11
524,11
525,9
526,7
527,7
528,7
529,5
532,2
533,2
534,3
535,3
536,3
551,9
552,11
553,10
554,10
555,11
556,10
557,11
558,10
559,8
