"POLYFID","species"
1,6
6,1
25,2
26,3
27,3
28,3
29,4
32,1
35,1
58,3
59,3
60,2
62,1
63,1
64,1
65,1
66,1
91,3
92,2
93,2
94,2
95,3
96,1
97,1
98,1
99,1
125,2
126,2
127,4
128,4
129,4
130,1
131,1
132,1
159,3
160,3
161,4
162,4
163,1
164,1
165,1
166,1
194,4
195,4
196,1
197,1
198,1
199,1
227,4
228,2
229,1
230,1
231,1
249,1
250,1
260,4
261,1
262,1
263,1
264,1
282,1
292,4
293,4
294,1
295,1
296,1
297,1
309,1
324,4
325,4
326,1
327,1
328,1
329,1
330,1
341,1
342,1
357,5
358,3
359,1
360,1
361,1
362,1
363,1
374,1
375,1
389,5
390,5
391,1
392,1
393,1
394,1
395,1
396,1
407,1
408,1
409,1
410,1
421,4
422,5
423,5
424,1
425,1
426,1
427,1
428,1
429,1
430,1
440,1
441,1
442,1
454,6
455,5
456,2
457,2
458,1
459,1
460,1
461,1
462,1
463,1
464,1
487,6
488,7
489,3
490,1
491,1
492,1
493,1
494,1
495,1
496,1
519,8
520,7
521,7
522,3
523,2
524,1
525,1
526,1
527,1
528,1
529,1
534,1
535,1
536,1
551,9
552,9
553,8
554,7
555,5
556,3
557,2
558,2
559,1
560,1
561,1
562,1
566,1
567,1
568,1
569,1
570,1
583,9
584,9
585,8
586,8
587,7
588,4
589,4
590,3
591,2
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
615,11
616,10
617,8
618,8
619,8
620,6
621,4
622,4
623,4
624,3
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
647,12
648,11
649,8
650,8
651,8
652,8
653,6
654,4
655,4
656,4
657,4
658,3
659,1
660,1
661,1
662,1
663,1
664,1
665,2
666,2
667,1
679,12
680,12
681,9
682,8
683,8
684,8
685,8
686,6
687,4
688,4
689,4
690,4
691,3
692,3
693,2
694,1
695,1
696,1
697,3
698,3
699,3
712,12
713,10
714,9
715,9
716,9
717,9
718,7
719,8
720,6
721,5
722,5
723,5
724,3
725,3
726,3
727,2
728,2
729,3
730,3
731,4
744,12
745,12
746,9
747,9
748,9
749,9
750,9
751,9
752,7
753,7
754,8
755,9
756,7
757,4
758,3
759,3
760,3
761,3
762,3
763,4
777,12
778,13
779,12
780,9
781,9
782,9
783,9
784,8
785,8
786,8
787,8
788,9
789,9
790,6
791,4
792,5
793,5
794,6
795,5
808,1
809,1
810,13
811,12
812,12
813,9
814,9
815,9
816,9
817,9
818,9
819,9
820,9
821,9
822,9
823,9
824,8
825,8
826,6
827,9
841,1
842,10
843,11
844,12
845,11
846,10
847,9
848,9
849,9
850,9
851,9
852,9
853,9
854,9
855,9
856,9
