"DataSet","POLYFID"
1,6185
2,2200
3,2200
4,2200
5,2200
6,520
7,825
8,858
9,844
10,844
11,520
12,887
13,752
14,752
15,650
16,846
17,650
18,814
19,6185
20,745
21,778
22,712
23,680
24,6185
25,6185
26,6258
27,6258
28,2232
29,2232
30,2232
31,2232
32,2232
33,2232
34,2232
35,877
36,6319
37,6319
38,885
39,6285
40,6285
41,723
42,6249
43,6249
44,6249
45,6249
46,825
47,6285
48,2195
49,2229
50,2099
51,3021
52,8889
53,8889
54,4104
55,4104
56,650
57,2191
58,6379
59,2132
60,812
61,3723
62,785
63,650
64,680
65,8889
66,8857
67,8857
68,8857
69,8857
70,618
71,551
72,1144
73,6249
74,6249
75,6446
76,6445
77,6446
78,6282
79,619
80,619
81,4251
82,4219
83,4249
84,4184
85,2132
86,1113
87,1113
88,1113
89,1113
90,813
91,4357
92,1868
93,4121
94,4186
95,4249
96,6282
97,3149
98,3082
99,722
100,409
101,6284
102,2099
103,8794
104,744
105,3051
106,3049
107,2983
108,3151
109,553
110,2902
111,3021
112,1767
113,3119
114,2097
115,2130
116,2097
117,2134
118,2195
119,4160
120,4160
121,3090
122,3090
123,3051
124,3051
125,718
126,652
127,3342
128,716
129,716
130,750
131,1503
132,4133
133,3674
134,3673
135,3090
136,8727
137,8791
138,8798
139,8924
140,3090
141,3090
142,3090
143,3090
144,3090
145,3090
146,3090
147,3090
148,3090
149,3090
150,3090
151,3090
152,8371
153,616
154,680
155,718
156,718
157,718
158,718
159,2459
160,553
161,716
162,716
163,716
164,716
165,716
166,4281
167,4281
168,553
169,716
170,716
171,716
172,6285
173,6285
174,615
175,5213
176,716
177,716
178,2097
179,751
180,2167
181,647
182,647
183,647
184,746
185,746
186,652
187,8461
188,3091
189,716
190,716
191,652
192,652
193,652
194,721
195,683
196,848
197,655
198,848
199,789
200,687
201,618
202,618
203,712
204,649
205,555
206,6153
207,716
208,3093
209,6285
210,1245
211,651
212,651
213,858
214,4282
215,4281
216,552
217,4326
218,3090
219,4217
220,3186
221,3186
222,3756
223,3756
224,3504
225,3127
226,332
227,2233
228,2167
229,4185
230,1113
231,34
232,175
233,4282
234,4282
235,4282
236,4282
237,4282
238,4282
239,4282
240,4282
241,4282
242,4282
243,4282
244,4282
245,4282
246,1178
247,8890
248,8890
249,NA
250,2167
251,4248
252,650
253,520
254,618
255,553
256,821
257,888
258,888
259,650
260,855
261,855
262,97
263,520
264,389
265,821
266,821
267,821
268,821
269,821
270,821
271,821
272,853
273,812
274,3160
275,648
276,684
277,555
278,620
279,551
280,4261
281,888
282,27
283,217
284,920
285,2132
