"POLYFID","species"
1,5
5,2
6,2
7,2
25,1
26,5
27,7
28,6
29,5
32,2
33,3
34,3
35,3
36,3
37,2
58,5
59,5
60,2
62,1
63,3
64,3
65,4
66,4
67,3
68,2
79,1
80,1
81,1
91,2
92,2
93,2
94,2
95,2
96,3
97,3
98,3
99,3
100,3
101,2
110,1
111,1
112,1
113,1
114,1
115,1
125,1
126,2
127,2
128,4
129,4
130,3
131,3
132,3
133,2
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
159,1
160,4
161,4
162,5
163,3
164,3
165,3
166,2
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
180,1
181,1
182,1
194,5
195,5
196,3
197,3
198,3
199,2
200,2
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
213,1
214,1
215,1
227,5
228,5
229,3
230,3
231,3
232,3
233,2
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
246,1
247,1
260,5
261,3
262,3
263,3
264,3
265,3
266,2
267,1
268,1
269,1
270,1
271,1
272,1
278,1
279,1
292,5
293,6
294,4
295,4
296,3
297,3
298,4
299,2
300,1
301,1
302,1
303,1
304,1
305,1
306,1
311,1
312,1
324,2
325,6
326,5
327,4
328,4
329,4
330,3
331,4
332,2
333,1
334,1
335,1
336,1
337,1
338,1
339,1
357,6
358,6
359,5
360,5
361,4
362,4
363,3
364,4
365,2
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
389,4
390,6
391,7
392,7
393,6
394,4
395,4
396,3
397,4
398,3
399,1
400,1
401,1
402,1
403,1
404,1
405,1
421,2
422,6
423,8
424,7
425,7
426,4
427,4
428,4
429,4
430,4
431,2
432,2
433,1
434,1
435,1
436,1
437,1
454,6
455,8
456,7
457,7
458,6
459,5
460,3
461,3
462,4
463,2
464,2
465,2
466,1
467,1
468,1
469,1
470,1
487,8
488,10
489,9
490,8
491,6
492,6
493,4
494,3
495,4
496,4
499,1
500,1
501,1
502,1
503,1
519,8
520,11
521,10
522,8
523,8
524,7
525,6
526,5
527,4
528,4
529,3
532,2
533,2
534,2
535,2
536,2
551,9
552,12
553,12
554,11
555,9
556,6
557,7
558,6
559,6
560,5
561,4
562,3
564,3
565,3
566,4
567,4
568,4
569,4
570,4
583,9
584,12
585,13
586,12
587,9
588,5
589,5
590,7
591,6
592,6
593,6
594,4
595,3
596,1
597,4
598,3
599,3
600,3
601,4
602,4
603,3
615,11
616,12
617,10
618,12
619,11
620,9
621,5
622,4
623,8
624,8
625,7
