"POLYFID","species"
1,7
25,1
26,3
27,6
28,5
29,7
32,1
33,1
34,1
35,1
36,1
58,3
59,4
60,2
62,1
63,2
64,2
65,2
66,2
67,1
91,1
92,2
93,2
94,2
95,2
96,3
97,3
98,2
99,2
100,1
125,2
126,2
127,2
128,4
129,4
130,3
131,2
132,2
159,2
160,4
161,4
162,5
163,3
164,2
165,1
185,1
194,5
195,5
196,3
197,2
198,1
217,1
218,1
227,5
228,5
229,3
230,2
231,2
232,2
242,1
243,1
249,1
250,1
260,5
261,3
262,2
263,2
264,3
265,2
275,1
276,1
282,1
292,5
293,6
294,3
295,2
296,3
297,3
298,3
308,1
309,1
324,3
325,6
326,4
327,2
328,3
329,3
330,3
331,3
341,1
342,1
357,6
358,6
359,4
360,4
361,3
362,3
363,3
364,3
374,1
389,4
390,6
391,6
392,6
393,5
394,3
395,3
396,3
397,3
398,1
421,2
422,7
423,7
424,6
425,6
426,4
427,3
428,3
429,3
430,3
432,1
433,1
436,1
454,7
455,9
456,6
457,6
458,5
459,4
460,3
461,3
462,3
470,1
487,9
488,11
489,7
490,6
491,5
492,5
493,3
494,3
495,3
496,2
519,9
520,12
521,10
522,7
523,6
524,5
525,5
526,4
527,3
528,3
529,2
532,1
533,1
534,1
551,10
552,12
553,11
554,10
555,7
556,4
557,5
558,5
559,5
560,4
561,3
562,3
564,1
565,2
566,3
567,3
568,3
569,3
570,3
583,9
584,11
585,11
586,11
587,9
588,5
589,3
590,5
591,5
592,5
593,5
594,3
595,3
596,1
597,3
598,3
599,3
600,3
601,3
602,3
603,3
615,10
616,10
617,8
618,10
619,10
620,10
621,6
622,5
623,6
624,6
625,6
626,5
627,5
628,3
629,3
630,3
631,3
632,3
633,3
634,4
635,4
647,10
648,10
649,7
650,7
651,9
652,9
653,6
654,6
655,6
656,7
657,7
658,6
659,6
660,6
661,5
662,5
663,5
664,5
665,5
666,4
667,4
679,9
680,10
681,9
682,6
683,7
684,7
685,9
686,5
687,5
688,6
689,8
690,7
691,6
692,6
693,6
694,6
695,6
696,6
697,7
698,6
699,7
712,9
713,10
714,6
715,6
716,8
717,8
718,7
719,6
720,6
721,5
722,8
723,8
724,7
725,7
726,7
727,7
728,7
729,7
730,7
731,7
744,8
745,9
746,8
747,8
748,8
749,9
750,9
751,7
752,6
753,6
754,7
755,7
756,6
757,5
758,9
759,8
760,8
761,9
762,8
763,7
777,8
778,9
779,9
780,8
781,8
782,9
783,10
784,6
785,6
786,7
787,7
788,8
789,8
790,7
791,7
792,9
793,10
794,7
795,6
808,1
809,1
810,7
811,8
812,11
813,10
814,9
815,9
816,9
817,7
818,7
819,7
820,7
821,8
822,8
823,8
824,8
825,8
826,8
827,8
841,1
842,6
843,6
844,12
845,12
846,10
847,9
848,9
849,7
850,7
851,7
852,7
853,7
854,8
855,7
856,8
857,8
858,7
859,7
874,6
875,8
876,10
877,14
878,10
879,9
880,9
881,7
882,7
883,7
884,7
885,7
886,7
887,7
888,7
889,7
890,7
891,7
907,7
908,9
909,15
910,10
911,9
912,9
913,7
914,8
915,7
916,7
917,7
918,7
919,7
920,7
921,7
922,7
923,7
940,7
941,12
942,15
943,9
944,8
945,7
946,8
947,8
948,7
949,7
950,7
951,7
952,7
953,7
954,7
955,7
972,7
973,7
974,16
975,13
976,8
977,9
978,6
979,8
980,8
981,8
982,7
983,7
984,7
985,7
986,7
987,7
1002,1
1006,9
1007,18
1008,9
1009,11
1010,9
1011,8
1012,7
1013,8
1014,7
1015,7
1016,7
1017,7
1018,7
1019,7
1021,6
1022,7
1023,7
1026,7
1028,6
1029,5
1030,5
1031,5
1032,3
1033,3
1048,3
1050,4
1051,5
1062,5
1063,2
1064,3
1065,3
1066,3
1079,1
1080,4
1081,4
1095,1
1097,3
1098,2
1112,4
1113,5
1116,6
1117,1
1144,3
1145,5
1146,5
1147,5
1148,2
1149,1
1176,3
1177,5
1178,5
1179,5
1180,6
1181,1
1182,1
1209,2
1210,5
1211,5
1212,6
1213,6
1214,1
1242,5
1243,5
1244,2
1245,7
1246,6
1247,1
1275,5
1277,2
1278,4
1279,4
1280,4
1306,4
1311,4
1312,4
1313,3
1331,1
1338,4
1339,5
1345,4
1346,2
1363,1
1364,1
1370,5
1371,5
1372,10
1374,8
1378,2
1379,2
1397,1
1402,4
1403,5
1404,11
1405,12
1406,10
1407,16
1408,8
1412,1
1435,6
1437,14
1438,12
1439,17
1440,13
1441,8
1444,1
1445,1
1469,14
1470,13
1471,19
1472,19
1473,14
1474,14
1475,1
1477,1
1496,1
1497,1
1500,13
1501,17
1502,18
1503,15
1504,10
1505,9
1506,10
1507,10
1508,9
1509,3
1529,1
1532,22
1533,22
1534,14
1535,11
1536,9
1537,11
1538,12
1539,11
1540,12
1541,7
1561,3
1562,2
1564,25
1565,17
1566,8
1567,7
1568,7
1569,8
1570,12
1571,10
1572,14
1573,11
1574,8
1593,2
1594,3
1595,4
1596,24
1597,7
1598,8
1599,8
1600,7
1601,7
1602,7
1603,10
1604,13
1605,14
1606,14
1627,2
1628,23
1629,14
1630,8
1631,10
1632,8
1633,7
1634,8
1635,8
1636,9
1637,12
1638,13
1639,12
1640,11
1658,1
1659,2
1660,11
1661,19
1662,10
1663,9
1664,9
1665,8
1666,8
1667,8
1668,8
1669,9
1670,14
1671,9
1672,12
1673,12
1690,1
1691,2
1692,5
1693,17
1694,13
1695,9
1696,9
1697,9
1698,9
1699,9
1700,8
1701,10
1702,9
1703,9
1704,8
1705,10
1706,13
1719,1
1723,2
1725,11
1726,21
1727,9
1728,9
1729,9
1730,9
1731,9
1732,9
1733,10
1734,10
1735,10
1736,9
1737,9
1738,10
1752,1
1755,3
1757,4
1758,20
1759,16
1760,10
1761,9
1762,9
1763,9
1764,9
1765,9
1766,10
1767,10
1768,11
1769,10
1770,10
1771,10
1784,1
1787,5
1789,3
1790,5
1791,19
1792,17
1793,10
1794,10
1795,9
1796,9
1797,9
1798,9
1799,9
1800,9
1801,10
1802,10
1803,10
1804,11
1819,8
1822,4
1823,5
1824,13
1825,19
1826,11
1827,10
1828,9
1829,9
1830,9
1831,9
1832,9
1833,9
1834,9
1835,10
1836,10
1837,9
1855,4
1856,5
1857,16
1858,13
1859,11
1860,10
1861,11
1862,10
1863,10
1864,10
1865,9
1866,9
1867,8
1868,8
1869,7
1870,7
1888,5
1889,4
1890,22
1891,14
1892,11
1893,13
1894,13
1895,12
1896,10
1897,9
1898,11
1899,10
1900,8
1901,6
1902,6
1903,7
1904,4
1920,3
1921,4
1922,4
1923,19
1924,12
1925,12
1926,12
1927,12
1928,12
1929,11
1930,9
1931,8
1932,8
1933,8
1934,7
1935,5
1936,4
1937,4
1952,2
1953,2
1954,4
1955,15
1956,11
1957,9
1958,9
1959,11
1960,11
1961,10
1962,8
1963,7
1964,8
1965,9
1966,9
1967,9
1968,6
1969,4
1970,4
1984,2
1985,3
1986,6
1987,14
1988,10
1989,8
1990,9
1991,9
1992,9
1993,10
1994,10
1995,9
1996,8
1997,8
1998,9
1999,9
2000,7
2001,7
2002,4
2003,4
2015,3
2016,3
2017,3
2018,11
2019,15
2020,9
2021,9
2022,12
2023,11
2024,11
2025,10
2026,10
2027,10
2028,9
2029,9
2030,9
2031,9
2032,10
2033,7
2034,7
2035,5
2050,8
2051,10
2052,10
2053,7
2054,2
2055,1
2056,3
2057,3
2058,3
2059,3
2060,5
2061,7
2062,7
2063,7
2064,6
2065,6
2066,4
2067,6
2068,5
2069,5
2070,5
2071,5
2072,4
2073,4
2074,4
2075,6
2083,8
2084,9
2085,7
2086,4
2088,2
2090,1
2091,2
2092,2
2093,5
2094,6
2095,7
2096,8
2097,6
2098,6
2099,5
2100,5
2101,6
2102,6
2103,6
2104,5
2105,5
2106,6
2107,6
2114,8
2115,12
2116,7
2117,8
2118,7
2119,2
2124,1
2125,2
2126,2
2127,4
2128,5
2129,5
2130,6
2131,6
2132,6
2133,6
2134,7
2135,7
2136,7
2137,6
2138,6
2139,5
2147,14
2148,11
2149,9
2150,8
2151,6
2152,1
2157,2
2158,2
2159,2
2160,4
2161,5
2162,5
2163,2
2164,3
2166,6
2167,7
2168,6
2169,7
2170,7
2171,7
2179,13
2180,16
2181,11
2182,8
2183,8
2184,6
2185,1
2189,1
2190,2
2191,2
2192,2
2193,4
2194,5
2195,6
2198,3
2199,5
2200,7
2201,8
2202,8
2203,7
2211,9
2212,14
2213,17
2214,10
2215,9
2216,9
2217,9
2218,7
2220,2
2221,2
2222,2
2223,2
2224,2
2225,2
2226,4
2227,5
2228,6
2229,6
2230,4
2231,5
2232,4
2233,8
2234,8
2235,8
2244,11
2245,15
2246,14
2247,9
2248,7
2249,9
2250,10
2251,7
2252,1
2253,2
2254,2
2255,2
2256,2
2257,2
2258,2
2259,3
2260,5
2261,6
2262,6
2263,3
2264,5
2265,6
2266,7
2267,6
2277,9
2278,14
2279,15
2280,8
2281,7
2282,7
2283,7
2284,5
2285,4
2286,2
2287,3
2288,2
2289,2
2290,2
2291,2
2292,3
2293,5
2294,1
2295,6
2296,6
2297,6
2298,7
2299,8
2310,10
2311,14
2312,15
2313,10
2314,9
2315,8
2316,5
2317,4
2318,3
2319,3
2320,3
2321,2
2322,2
2323,2
2324,3
2325,3
2327,5
2328,4
2329,6
2330,6
2331,8
2343,6
2344,14
2345,9
2346,9
2347,8
2348,8
2349,4
2350,4
2351,5
2352,2
2353,2
2354,2
2357,3
2358,2
2361,6
2362,7
2363,8
2377,11
2378,11
2379,6
2380,8
2381,7
2382,5
2383,5
2384,5
2385,2
2386,2
2388,2
2389,2
2390,3
2393,5
2394,7
2395,6
2410,11
2411,12
2412,9
2413,8
2414,7
2415,6
2416,5
2417,2
2420,1
2421,2
2422,1
2423,2
2424,2
2426,5
2427,6
2442,8
2443,12
2444,12
2445,11
2446,9
2447,8
2448,6
2449,2
2450,1
2455,1
2456,2
2457,1
2458,4
2459,5
2475,9
2476,15
2477,11
2478,9
2479,8
2480,8
2481,5
2482,2
2483,1
2484,1
2489,2
2490,2
2505,1
2506,2
2507,1
2508,16
2509,17
2510,10
2511,9
2512,9
2513,9
2514,4
2515,2
2516,1
2517,1
2521,1
2522,4
2523,3
2538,8
2539,10
2540,12
2541,15
2542,16
2543,10
2544,8
2545,8
2546,7
2547,4
2548,3
2549,1
2553,1
2554,1
2555,5
2571,12
2572,11
2573,11
2574,14
2575,13
2576,10
2577,6
2578,7
2579,7
