DataSet,biome
1,12
2,4
3,4
4,4
5,4
6,5
7,4
8,4
9,13
10,13
11,5
12,4
13,8
14,8
15,13
16,5
17,13
18,13
19,12
20,12
21,12
22,12
23,12
24,12
25,4
26,1
27,1
28,12
29,12
30,12
31,12
32,12
33,12
34,12
35,2
36,8
37,8
38,4
39,8
40,8
41,4
42,4
43,4
44,4
45,4
46,4
47,8
48,12
49,12
50,12
51,7
52,4
53,4
54,8
55,8
56,13
57,13
58,4
59,12
60,13
61,2
62,8
63,13
64,12
65,4
66,4
67,4
68,4
69,4
70,5
71,4
72,4
73,12
74,12
75,8
76,8
77,8
78,8
79,8
80,8
81,11
82,6
83,6
84,6
85,12
86,4
87,4
88,4
89,4
90,13
91,13
92,1
93,4
94,6
95,6
96,8
97,13
98,13
99,4
100,11
101,8
102,12
103,13
104,12
105,1
106,10
107,12
108,12
109,8
110,1
111,10
112,1
113,12
114,12
115,12
116,12
117,12
118,12
119,10
120,10
121,12
122,4
123,10
124,10
125,8
126,8
127,4
128,13
129,13
130,5
131,1
132,13
133,13
134,13
135,4
136,12
137,4
138,7
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,12
153,5
154,12
155,13
156,13
157,13
158,13
159,12
160,13
161,13
162,13
163,13
164,13
165,13
166,11
167,6
168,5
169,13
170,13
171,13
172,8
173,8
174,5
175,1
176,13
177,13
178,12
179,8
180,5
181,12
182,12
183,12
184,13
185,13
186,8
187,1
188,4
189,13
190,13
191,5
192,5
193,5
194,8
195,13
196,8
197,8
198,8
199,4
200,8
201,8
202,8
203,12
204,13
205,5
206,10
207,13
208,4
209,8
210,1
211,13
212,13
213,4
214,6
215,11
216,5
217,8
218,4
219,6
220,5
221,5
222,2
223,2
224,13
225,4
226,11
227,4
228,4
229,6
230,4
231,11
232,99
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,6
245,6
246,4
247,4
248,4
249,NA
250,4
251,6
252,13
253,5
254,8
255,13
256,4
257,4
258,4
259,13
260,4
261,4
262,6
263,5
264,5
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,8
273,5
274,4
275,12
276,13
277,8
278,5
279,5
280,8
281,4
282,6
283,6
284,4
285,12
286,4
287,13
288,11
289,4
290,12
291,5
292,11
293,13
294,13
295,7
296,7
297,7
298,7
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,12
309,13
310,13
311,3
312,3
313,3
314,3
315,3
316,1
317,4
318,4
319,12
320,12
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,13
339,4
340,4
341,8
342,5
343,5
344,4
345,4
346,4
347,6
348,6
349,12
350,4
351,12
352,4
353,12
354,6
355,11
356,11
357,12
358,12
359,4
360,1
361,1
362,2
363,1
364,1
365,1
366,1
367,7
368,2
369,7
370,7
371,7
372,7
373,1
374,7
375,5
376,5
377,6
378,4
379,13
380,13
381,4
382,5
383,5
384,4
385,4
386,12
387,12
388,4
389,12
390,8
391,9
392,4
393,5
394,4
395,12
396,5
397,6
398,6
399,6
400,5
401,5
402,11
403,8
404,12
405,12
406,12
407,12
408,5
409,4
410,12
411,12
412,12
413,12
414,13
415,13
416,12
417,13
418,13
419,8
420,13
421,12
422,8
423,12
424,12
425,12
426,1
427,14
428,4
429,13
430,4
431,4
432,6
433,6
434,10
435,10
436,5
437,13
438,6
439,6
440,4
441,12
442,4
443,4
444,4
445,12
446,12
447,12
448,12
449,12
450,12
451,12
452,4
453,12
454,12
455,12
456,12
457,12
458,12
459,12
460,4
461,4
462,4
463,4
464,6
465,6
466,4
467,4
468,4
469,5
470,11
471,8
472,7
473,10
474,10
475,6
476,6
477,6
478,6
479,12
480,6
481,4
482,4
483,4
484,11
485,5
486,4
487,8
488,8
489,12
490,12
491,8
492,4
493,4
494,8
495,4
496,8
497,6
498,6
499,6
500,1
501,11
502,11
503,11
504,11
505,4
506,13
507,13
508,13
509,5
510,5
511,5
512,5
513,5
514,4
515,4
516,13
517,4
518,13
519,13
520,13
521,13
522,13
523,13
524,13
525,4
526,4
527,8
528,7
529,6
530,13
531,13
532,13
533,13
534,9
535,4
536,4
537,8
538,8
539,8
540,4
541,4
542,4
543,4
544,1
545,1
546,10
547,12
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,5
558,8
559,4
560,4
561,4
562,4
563,4
564,4
565,13
566,4
567,4
568,2
569,2
570,2
571,2
572,4
573,4
574,4
