"POLYFID","species"
1,128
3,15
4,11
5,39
6,59
7,35
19,5
20,5
25,56
26,98
27,116
28,116
29,135
31,17
32,58
33,66
34,73
35,82
36,63
37,31
58,113
59,114
60,39
61,1
62,66
63,87
64,92
65,100
66,94
67,59
68,35
79,3
80,3
81,3
91,84
92,33
93,41
94,59
95,83
96,86
97,87
98,89
99,88
100,59
101,29
110,8
111,3
112,3
113,3
114,5
115,6
118,2
123,30
125,31
126,43
127,77
128,97
129,104
130,98
131,95
132,89
133,54
141,9
142,9
143,10
144,4
145,2
146,2
147,6
148,5
149,5
155,18
159,43
160,87
161,95
162,115
163,106
164,97
165,89
166,66
169,12
170,9
171,10
172,9
173,10
174,10
175,10
176,8
177,4
178,2
179,1
180,3
181,7
182,7
185,16
187,16
193,1
194,88
195,116
196,103
197,96
198,85
199,71
200,37
201,19
202,17
203,15
204,15
205,14
206,13
207,10
208,11
209,10
210,6
213,4
214,10
215,9
217,19
218,18
227,101
228,118
229,98
230,84
231,83
232,68
233,39
234,18
235,14
236,15
237,17
238,16
239,18
240,12
241,11
242,9
243,4
245,1
246,6
247,9
249,23
250,23
260,127
261,120
262,98
263,92
264,80
265,64
266,34
267,18
268,15
269,16
270,16
271,17
272,17
275,6
276,7
277,1
278,1
279,6
282,15
292,93
293,131
294,115
295,99
296,95
297,74
298,56
299,32
300,25
301,21
302,19
303,12
304,15
305,15
306,9
308,7
309,7
310,1
311,6
312,6
324,66
325,124
326,120
327,115
328,117
329,103
330,69
331,47
332,31
333,26
334,23
335,18
336,19
337,14
338,13
339,10
341,7
342,7
343,2
344,5
357,97
358,133
359,121
360,126
361,122
362,106
363,69
364,40
365,30
366,23
367,20
368,18
369,18
370,12
371,15
372,10
373,9
374,7
375,7
376,4
377,4
389,69
390,129
391,138
392,136
393,134
394,124
395,110
396,68
397,37
398,28
399,21
400,17
401,21
402,18
403,18
404,13
405,9
407,7
408,6
409,4
410,3
421,50
422,101
423,143
424,152
425,148
426,135
427,128
428,111
429,65
430,45
431,25
432,26
433,24
434,16
435,17
436,16
437,13
440,3
441,3
442,3
454,96
455,151
456,163
457,173
458,147
459,135
460,124
461,107
462,73
463,48
464,33
465,15
466,18
467,24
468,21
469,13
470,12
487,136
488,186
489,185
490,190
491,160
492,145
493,121
494,100
495,89
496,79
499,12
500,17
501,15
502,19
503,19
519,134
520,196
521,190
522,201
523,188
524,169
525,155
526,117
527,96
528,95
529,78
532,22
533,20
534,30
535,33
536,36
551,142
552,206
553,196
554,186
555,207
556,161
557,171
558,165
559,143
560,108
561,100
562,82
564,16
565,37
566,37
567,41
568,46
569,51
570,54
583,176
584,199
585,193
586,188
587,196
588,164
589,158
590,178
591,166
592,147
593,113
594,99
595,91
596,75
597,54
598,47
599,46
600,50
601,58
602,61
603,71
615,190
616,211
617,193
618,189
619,193
620,187
621,157
622,154
623,187
624,182
625,162
626,112
627,99
628,100
629,87
630,66
631,59
632,61
633,66
634,69
635,78
647,190
648,219
649,183
650,175
651,192
652,195
653,175
654,146
655,153
656,188
657,194
658,158
659,118
660,110
661,119
662,115
663,87
664,88
665,113
666,111
667,81
679,153
680,218
681,194
682,159
683,180
684,191
685,185
686,174
687,145
688,158
689,183
690,186
691,154
692,143
693,127
694,135
695,118
696,114
697,135
698,136
699,129
712,181
713,213
714,170
715,165
716,187
717,192
718,179
719,166
720,152
721,157
722,191
723,181
724,166
725,150
726,144
727,135
728,130
729,146
730,150
731,151
744,128
745,213
746,180
747,192
748,176
749,191
750,203
751,188
752,147
753,148
754,154
755,190
756,182
757,175
758,177
759,171
760,166
761,171
762,164
763,159
777,164
778,205
779,187
780,179
781,186
782,194
783,209
784,139
785,129
786,150
787,148
788,171
789,189
790,175
791,180
792,180
793,185
794,181
795,168
808,11
809,12
810,169
811,131
812,214
813,187
814,205
815,207
816,162
817,116
818,139
819,146
820,148
821,158
822,167
823,173
824,180
825,186
826,179
827,177
841,11
842,113
843,105
844,198
845,221
846,200
847,185
848,157
849,124
850,130
851,147
852,142
853,143
854,150
855,157
856,169
857,168
858,175
859,180
874,66
875,92
876,163
877,217
878,185
879,178
880,127
881,120
882,129
883,141
884,141
885,145
886,140
887,142
888,140
889,154
890,173
891,165
907,84
908,122
909,260
910,190
911,148
912,144
913,128
914,137
915,132
916,133
917,133
918,131
919,133
920,134
921,158
922,164
923,155
940,84
941,215
942,258
943,115
944,149
945,139
946,144
947,140
948,125
949,126
950,129
951,121
952,142
953,143
954,149
955,156
972,76
973,83
974,279
975,210
976,130
977,162
978,157
979,169
980,154
981,137
982,121
983,116
984,128
985,140
986,140
987,142
1002,6
1003,1
1004,4
1006,150
1007,306
1008,146
1009,190
1010,194
1011,164
1012,126
1013,108
1014,128
1015,127
1016,124
1017,119
1018,124
1019,130
1021,116
1022,128
1023,126
1026,135
1028,157
1029,153
1030,139
1031,128
1032,100
1033,75
1048,76
1049,35
1050,99
1051,125
1062,135
1063,120
1064,97
1065,82
1066,69
1079,51
1080,99
1081,102
1084,36
1095,16
1097,78
1098,74
1112,90
1113,116
1116,127
1117,59
1143,63
1144,77
1145,106
1146,118
1147,98
1148,72
1149,71
1155,11
1176,72
1177,86
1178,114
1179,115
1180,119
1181,50
1182,54
1187,11
1209,35
1210,99
1211,133
1212,118
1213,119
1214,50
1242,100
1243,136
1244,97
1245,158
1246,126
1247,57
1275,122
1276,2
1277,101
1278,102
1279,117
1280,110
1306,83
1311,114
1312,118
1313,97
1330,8
1331,16
1338,129
1339,174
1345,140
1346,116
1363,18
1364,18
1370,102
1371,167
1372,453
1374,346
1378,106
1379,112
1380,30
1397,19
1402,97
1403,164
1404,502
1405,545
1406,519
1407,640
1408,279
1412,58
1435,152
1437,764
1438,634
1439,638
1440,586
1441,434
1442,50
1444,51
1445,72
1468,14
1469,758
1470,807
1471,852
1472,706
1473,645
1474,549
1475,110
1477,78
1496,26
1497,26
1500,644
1501,849
1502,947
1503,806
1504,532
1505,360
1506,391
1507,463
1508,508
1509,131
1510,35
1529,13
1531,1
1532,1044
1533,1093
1534,875
1535,594
1536,402
1537,521
1538,650
1539,610
1540,550
1541,432
1561,50
1562,41
1563,5
1564,1134
1565,897
1566,567
1567,484
1568,485
1569,495
1570,622
1571,611
1572,665
1573,600
1574,441
1593,35
1594,55
1595,80
1596,1070
1597,582
1598,533
1599,475
1600,474
1601,480
1602,521
1603,547
1604,603
1605,670
1606,598
1626,13
1627,39
1628,955
1629,890
1630,596
1631,604
1632,487
1633,466
1634,527
1635,514
1636,477
1637,625
1638,630
1639,569
1640,528
1658,29
1659,40
1660,378
1661,1031
1662,643
1663,589
1664,584
1665,541
1666,529
1667,467
1668,465
1669,491
1670,554
1671,521
1672,576
1673,575
1690,31
1691,38
1692,183
1693,903
1694,708
1695,539
1696,510
1697,558
1698,518
1699,537
1700,504
1701,537
1702,411
1703,461
1704,475
1705,544
1706,571
1719,22
1723,50
1724,5
1725,523
1726,988
1727,558
1728,536
1729,519
1730,513
1731,509
1732,557
1733,672
1734,652
1735,530
1736,424
1737,460
1738,564
1751,14
1752,25
1755,116
1756,1
1757,206
1758,856
1759,791
1760,534
1761,529
1762,539
1763,538
1764,559
1765,562
1766,647
1767,648
1768,677
1769,626
1770,607
1771,535
1784,27
1787,243
1789,86
1790,240
1791,892
1792,927
1793,592
1794,577
1795,599
1796,587
1797,537
1798,520
1799,542
1800,561
1801,599
1802,652
1803,571
1804,528
1819,272
1822,107
1823,187
1824,759
1825,994
1826,600
1827,594
1828,541
1829,555
1830,525
1831,527
1832,507
1833,501
1834,521
1835,540
1836,530
1837,472
1855,104
1856,191
1857,860
1858,755
1859,520
1860,543
1861,545
1862,514
1863,552
1864,547
1865,472
1866,483
1867,511
1868,494
1869,478
1870,438
1888,153
1889,169
1890,913
1891,721
1892,481
1893,620
1894,586
1895,491
1896,481
1897,456
1898,477
1899,475
1900,454
1901,436
1902,386
1903,358
1904,278
1919,1
1920,64
1921,122
1922,173
1923,869
1924,550
1925,500
1926,596
1927,574
1928,512
1929,462
1930,472
1931,453
1932,384
1933,353
