"POLYFID","species"
1,92
3,1
4,1
5,2
6,5
7,1
24,1
25,20
26,46
27,61
28,54
29,74
31,1
32,6
33,7
34,7
35,12
36,7
37,2
57,1
58,64
59,67
60,21
61,1
62,11
63,17
64,18
65,19
66,16
67,6
68,2
91,55
92,18
93,20
94,18
95,27
96,21
97,21
98,19
99,17
100,6
101,1
110,1
118,1
123,31
125,18
126,20
127,43
128,46
129,40
130,25
131,19
132,17
133,4
141,1
142,1
143,1
154,1
155,15
159,32
160,49
161,48
162,51
163,28
164,19
165,16
166,8
169,1
170,2
171,1
172,1
173,2
174,1
175,1
176,1
177,1
185,9
187,13
193,2
194,48
195,44
196,24
197,18
198,13
199,10
200,3
201,1
202,1
203,2
204,1
205,1
206,2
207,1
208,2
209,1
210,1
213,1
216,1
217,11
218,11
226,1
227,47
228,35
229,21
230,15
231,14
232,11
233,2
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,2
243,2
245,1
248,1
249,18
250,18
259,2
260,56
261,29
262,17
263,16
264,16
265,10
266,1
267,1
268,1
269,1
270,1
271,1
272,1
275,2
276,2
281,1
282,15
292,54
293,58
294,23
295,17
296,17
297,14
298,10
299,1
300,1
301,1
302,1
303,1
304,1
305,2
306,2
308,2
309,2
324,46
325,60
326,30
327,21
328,22
329,21
330,13
331,9
332,1
333,1
334,1
335,1
336,1
337,1
338,2
339,2
341,2
342,2
356,2
357,67
358,62
359,28
360,24
361,22
362,18
363,13
364,6
365,1
366,1
367,1
368,1
369,1
370,1
371,2
372,1
373,1
374,2
375,1
389,59
390,73
391,38
392,29
393,25
394,20
395,19
396,12
397,7
398,2
399,1
400,1
401,1
402,1
403,1
404,1
405,1
407,1
408,2
409,2
410,2
421,45
422,69
423,68
424,38
425,28
426,23
427,21
428,19
429,13
430,9
431,1
432,2
433,2
434,1
435,1
436,2
437,1
440,2
441,2
442,2
454,79
455,87
456,49
457,44
458,28
459,24
460,22
461,18
462,13
463,7
464,2
465,1
466,1
467,1
468,1
469,1
470,2
486,3
487,119
488,114
489,54
490,45
491,30
492,27
493,22
494,19
495,16
496,10
499,1
500,1
501,1
502,1
503,1
519,132
520,146
521,100
522,57
523,44
524,31
525,29
526,25
527,19
528,17
529,11
532,2
533,3
534,8
535,7
536,5
550,1
551,139
552,156
553,119
554,91
555,59
556,33
557,34
558,30
559,26
560,23
561,18
562,14
564,2
565,8
566,10
567,10
568,10
569,12
570,13
582,3
583,157
584,137
585,112
586,106
587,87
588,50
589,35
590,35
591,33
592,27
593,24
594,19
595,15
596,10
597,11
598,10
599,10
600,10
601,13
602,13
603,22
614,4
615,179
616,146
617,114
618,102
619,95
620,86
621,49
622,39
623,41
624,39
625,31
626,26
627,23
628,19
629,15
630,15
631,14
632,16
633,17
634,20
635,24
647,198
648,179
649,114
650,100
651,103
652,93
653,77
654,44
655,42
656,45
657,44
658,36
659,30
660,27
661,25
662,23
663,20
664,19
665,26
666,28
667,21
679,182
680,213
681,132
682,102
683,105
684,104
685,87
686,71
687,46
688,46
689,51
690,45
691,41
692,35
693,31
694,27
695,26
696,26
697,34
698,36
699,36
711,2
712,205
713,183
714,120
715,114
716,111
717,95
718,84
719,69
720,61
721,58
722,61
723,55
724,43
725,37
726,35
727,31
728,32
729,39
730,42
731,51
744,185
745,239
746,170
747,147
748,112
749,105
750,99
751,91
752,75
753,69
754,68
755,72
756,65
757,52
758,49
759,44
760,42
761,53
762,54
763,61
777,227
778,235
779,192
780,126
781,111
782,104
783,115
784,79
785,73
786,78
787,75
788,77
789,78
790,59
791,59
792,70
793,76
794,70
795,67
808,13
809,17
810,219
811,202
812,190
813,137
814,136
815,126
816,111
817,91
818,88
819,86
820,83
821,83
822,81
