DataSet,Order,Family,Genus,Species,Lat,Long,NumObs,NumPreyTypes,rare_NT,NetSpec,yInt,MF,rare_MF,sp50,Gini,SE,rare_SE,Mass,ID_MF,MMF,MSP,MLP,MassRange,RichBirds,RichMamms,RichStrigB,RichStrigNB,RichAccB,RichAccNB,NumHabs,RangeSize,fBirds,fMamms,fIns,funidBird,funidMamm,MOS,SD,Season,Temp,Seasonality,AnnPrecip,PrecipSeason,Biome,EqSplit,FairProp,efficiency,MainDiet,Climate_PCA1,Diversity_PCA1
1,Strigiformes,Tytonidae,Tyto,Tyto alba,-33.675,-71.0417,1348,12,7.71,0.329068148955533,0.379637626188934,0.300445103857567,0.55,2.27160493827161,0.448702427515987,2.10499983903997,1.78801841840574,5.99973029152501,Species,3.29583686600433,2.78809290877575,5.52345892052492,234.25,160,36,6,6,7,8,0,63140525.19,0.0415430267062315,0.958456973293769,0,0.0415430267062315,0,250.5,0.805677594041249,,14.9658393859863,4.74298477172852,0.0187237989157438,99.5038375854492,12,59.0468688737535,41.6526692915822,0.875399019348941,Mamms,54.8996752632593,-24.5545697884593
2,Strigiformes,Tytonidae,Tyto,Tyto alba,45.364001,10.438801,875,17,9.12,0.199223350089559,0.233342854837124,0.184,0.4,3.27542372881356,0.53536488905541,2.39550030752883,2.02765654973715,5.99973029152501,Species,1.6467336971778,1.6467336971778,3.41608599415591,25.26,182,80,7,7,9,11,2,63140525.19,0.0697142857142857,0.930285714285714,0,0.0251428571428571,0.0731428571428571,10,0.582363543991003,,14.0069417953491,7.79228115081787,0.0332718230783939,20.5147800445557,4,59.0468688737535,41.6526692915822,0.917296651593637,Mamms,-23.7659745820566,9.38900811222978
3,Strigiformes,Tytonidae,Tyto,Tyto alba,45.364001,10.438801,521,18,8.53,0.212543152333079,0.251945272482173,0.195777351247601,0.45,3.06521739130435,0.67493058983621,2.29962350777667,1.96474515516144,5.99973029152501,Species,3.3322045101752,1.6467336971778,4.34380542185368,71.81,182,80,7,7,9,11,2,63140525.19,0.0287907869481766,0.967370441458733,0,0.00191938579654511,0.0959692898272553,77,0.741589776777767,,14.0069417953491,7.79228115081787,0.0332718230783939,20.5147800445557,4,59.0468688737535,41.6526692915822,0.916567879299093,Mamms,-23.7659745820566,9.38900811222979
4,Strigiformes,Tytonidae,Tyto,Tyto alba,45.364001,10.438801,2539,19,9.4,0.207987629543328,0.235652655926664,0.190232374950768,0.45,3.36382978723404,0.56515352456014,2.45888034135437,2.04192206963237,5.99973029152501,Species,3.3322045101752,1.6467336971778,4.34380542185368,71.81,182,80,7,7,9,11,2,63140525.19,0.0992516738873572,0.892477353288696,0,0.044505710909807,0.0925561244584482,77,0.84059611004236,,14.0069417953491,7.79228115081787,0.0332718230783939,20.5147800445557,4,59.0468688737535,41.6526692915822,0.911283634557843,Mamms,-23.7659745820568,9.38900811222979
5,Strigiformes,Tytonidae,Tyto,Tyto alba,45.364001,10.438801,799,19,9.52,0.183724268378584,0.210101584814811,0.172715894868586,0.45,3.68181818181818,0.519242711094282,2.51788829689475,2.07536476366978,5.99973029152501,Species,3.3322045101752,1.6467336971778,4.34380542185368,71.81,182,80,7,7,9,11,2,63140525.19,0.0725907384230288,0.917396745932415,0,0.0237797246558198,0.0926157697121402,77,0.743827719329104,,14.0069417953491,7.79228115081787,0.0332718230783939,20.5147800445557,4,59.0468688737535,41.6526692915822,0.920994722594648,Mamms,-23.7659745820567,9.38900811222979
6,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,48.435,-123.366,2896,16,5.43,0.4721718257054,0.621475368433112,0.357069143446852,0.65,1.48939929328622,0.715630086026505,1.66930087955833,1.40308640843392,6.06301747219289,Species,4.36309862478836,3.05776766447344,7.51328362536041,1810.94,196,79,11,12,9,7,1,8393137.06,0.968008255933952,0.0319917440660475,0,0,0,78.5,1.10646116053585,Breeding,9.82810497283936,3.37912583351135,0.032997589558363,62.8784561157227,5,18.5468790529535,19.2362922705701,0.829277117765887,Birds,17.9768720802935,22.5527498221953
7,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,42.445,-76.498,853,28,7.95,0.316280076477233,0.36445934980859,0.28253223915592,0.5,2.4364406779661,0.743345470122082,2.23271248504636,1.84043280770194,6.06301747219289,Species,4.34562195278008,2.9338568698359,7.06714080449303,1153.99,186,55,7,8,10,8,0,8393137.06,0.818288393903869,0.181711606096131,0,0,0,77.14,1.47360345199888,Breeding,8.43922424316406,9.5232400894165,0.0373038686811924,8.79450798034668,4,18.5468790529535,19.2362922705701,0.88773766529145,Birds,-36.0676684523546,5.97614243911542
8,Acciptriformes,Acciptridae,Accipiter,Accipiter gentilis,41.999,-76.638,185,9,5.3,0.639779352055239,0.88536341941361,0.448648648648649,0.7,1.16379310344828,0.548611111111111,1.48891257696602,1.2892407404734,6.76393109687218,Species,6.10648822367676,4.47733681447821,6.2745925153512,442.91,175,58,5,7,9,9,0,31775270.74,0.610810810810811,0.389189189189189,0,0,0,114.61,1.37083188509436,Breeding,8.55853652954102,9.42710113525391,0.0340629778802395,10.8827953338623,4,18.3751277580583,19.064540975675,0.773061982226572,Mix,-33.9771958080002,-3.74531924009237
11,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,48.494,-122.897,110,26,10.31,0.339386367432983,0.320754128957338,0.227272727272727,0.45,2.88888888888889,0.383635655578102,2.65810768406911,2.07807290105994,6.06301747219289,Species,4.36309862478836,2.9704144655697,7.51328362536041,1812.72,196,79,11,12,9,7,1,8393137.06,0.845454545454545,0.154545454545455,0,0,0,78.5,1.17851276312313,Breeding,9.78113269805908,3.01572227478027,0.0351562909781933,59.1501388549805,5,18.5468790529535,19.2362922705701,0.890686282629017,Birds,14.2763120003011,22.5527498221953
12,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,39.463,-87.383,57,8,4.34,0.86090438486849,1.31656751998731,0.56140350877193,0.85,1,0.594949494949495,1.28238528501901,1.08396917468511,6.06301747219289,Species,4.34562195278008,3.27752202030093,5.86986172534873,327.69,142,51,5,7,9,9,1,8393137.06,0.982456140350877,0.0175438596491228,0,0,0.0175438596491228,77.14,1.39066287498395,,12.1261768341064,9.80334663391113,0.0355580188333988,16.6384792327881,4,18.5468790529535,19.2362922705701,0.738461828206954,Birds,-27.8748603579372,-37.3094262988387
13,Strigiformes,Tytonidae,Tyto,Tyto alba,41.9275,-102.49916667,362,13,5.62,0.461702187919279,0.597014946900805,0.37292817679558,0.6,1.54117647058824,0.73541842772612,1.71446308069835,1.45347457670516,5.99973029152501,Species,3.60413822565885,1.53901544813755,6.97143405564532,1061.09,147,66,6,6,8,7,1,63140525.19,0.00552486187845304,0.994475138121547,0,0.00552486187845304,0,36.75,1.67145158835493,Breeding,8.43353939056396,14.1371984481812,0.00217988761141896,87.5553131103516,13,59.0468688737535,41.6526692915822,0.841943994363669,Mamms,42.0734260048455,-28.1907621741881
14,Strigiformes,Strigidae,Bubo,Bubo virginianus,41.9275,-102.49916667,73,10,6.05,0.425326403409487,0.536074643895209,0.356164383561644,0.5,1.7,0.531482310792656,1.77373106886116,1.55641174372705,7.362454896968,Species,4.10098910494077,3.60413822565885,6.97143405564532,1029,147,66,6,6,8,7,1,24426738.59,0.0136986301369863,0.986301369863014,0,0.0136986301369863,0,36.75,0.741966831951627,Breeding,8.43353939056396,14.1371984481812,0.00217988761141896,87.5553131103516,13,11.9032995992574,12.9049413304668,0.864645199491679,Mamms,42.0734260048455,-28.1907621741881
15,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,43.094,-116.042,616,27,5.85,1.04585829074084,1.53269118393695,0.541195476575121,0.8,1,0.729433871667728,1.64313915965415,1.29860210218185,8.35419650074994,Species,7.79254708779689,3.50645789231965,9.50348226245859,13373,175,78,9,7,9,8,1,39450257.98,0.145395799676898,0.810985460420032,0,0.0468497576736672,0,2422.48,1.9078450938463,Breeding,12.1108150482178,9.30452346801758,0.0094066308811307,43.3982772827148,13,9.67241334246601,12.8779673484401,0.735151423720099,Mamms,-1.27544050575592,2.1595663969982
16,Acciptriformes,Acciptridae,Accipiter,Accipiter striatus,34.7,-106.4,48,20,10.52,0.210965330953107,0.216420355710384,0.1875,0.45,3.66666666666667,0.253983969825554,2.66974070689977,2.16517771560585,4.87206264423232,Species,4.36309862478836,2.50143595173921,4.45131946116983,73.54,200,111,11,10,12,10,1,16375303.87,1,0,0,0,0,78.5,0.787111888896848,Migration,7.90398788452148,9.04038429260254,0.0325336381793022,69.7069091796875,4,14.8736963630343,16.111767612771,0.920068740228227,Birds,24.4082601696745,35.8321624801345
17,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,43.094,-116.042,2915,76,7.99,0.512131266298401,0.574839348880847,0.354395604395604,0.65,1.77941176470588,0.692048048051211,2.32082621520787,1.74101272812502,8.35419650074994,Species,7.79254708779689,3.38777436133001,9.50348226245859,13376.73,175,78,9,7,9,8,1,39450257.98,0.210508241758242,0.733516483516483,0.000686813186813187,0,0,2422.48,1.78756851716353,Breeding,12.1108150482178,9.30452346801758,0.0094066308811307,43.3982772827148,13,9.67241334246601,12.8779673484401,0.837754051178078,Mix,-1.27544050575592,2.1595663969982
18,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,36.38,-108.05,660,22,5.5,0.627756896629078,0.85421600529686,0.43010752688172,0.7,1.20776255707763,0.768851452473234,1.59153202249623,1.30840492587955,8.35419650074994,Species,NaN,4.65224459337402,8.86578172831603,6980.51,205,109,10,9,12,9,1,39450257.98,0.0967741935483871,0.8678955453149,0,0,0,2422.48,1.62161391566591,Breeding,10.9982395172119,9.74163627624512,0.0121381878852844,26.0818634033203,13,9.67241334246601,12.8779673484401,0.767506314766743,Mamms,-18.6145402830439,40.0062027004089
